stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.82,3.15,0,0,37.76,0,0,3.15,3.15,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,8,3,0,12,0,0,0,1,0,0,0,0,2,0,0,1,10,0,0,3,53,1,0,0,2,0,0,0,12,2,1,17,29,0,0,0,0,2
 24-34,0,0,0,0,1.64,2.46,0,16.42,0,0,0,2.46,0,0,0,0,15.6,0,0,2.46,1.64,0,0,4.1,63.21,0,1.64,0.82,0,0,1.64,0,0,0,0,1.64,12.31,0,0,1.64,0,4.1
 36-46,0,0,0,0,0.81,0,0,33.03,0,0,0,1.61,0,0,0,0,29,0,0,0,1.61,0,0,0.81,97.49,0,5.64,0,0,0,0.81,0,0,0.81,0,0,25.78,0,0,0,0,4.83
 48-58,0,0,0,0,0.57,0,0,55.66,0,0,0,1.15,0,0,0,0,40.74,0,0,0,5.16,0,0,0.57,153.21,1.15,2.87,0,0,0,0,0,0,0,0,0,25.82,0,0,0.57,0,5.16
 60-70,0,0,0,0,4.91,0,0,133.49,0,0,0,2.94,0.98,0,0,0,64.78,0,0,0,5.89,0,0,0.98,285.62,0.98,2.94,0,0,0,0.98,0,0,0.98,0,0,45.15,0,0,0,0,5.89
 72-82,0,0,0,0,4.91,20.61,0,178.66,0.98,0,1.96,18.65,2.94,0.98,0,0,77.55,0,1.96,0,27.49,0,0,3.93,337.69,0,6.87,0.98,0,0,3.93,0,0,0,0,0,30.43,0,0,0,0,7.85
 84-94,0,0,0,0,6.37,27.61,0,99.83,0,0,4.25,9.56,0,0,0,0,111.51,1.06,0,0,12.74,0,0,7.43,144.44,0,4.25,0,0,1.06,2.12,0,0,0,0,0,19.12,0,0,0,1.06,4.25
 96-106,0,0,0,1.09,4.37,17.49,0,112.56,0,0,0,29.51,2.19,0,2.19,0,119.12,0,0,0,39.34,1.09,2.19,3.28,167.21,0,8.74,3.28,0,0,8.74,0,0,1.09,0,0,10.93,1.09,0,1.09,0,12.02
108-118,0,0,1.53,0,7.66,16.85,1.53,102.64,0,0,1.53,14.55,1.53,0,0.77,0,168.51,1.53,2.3,1.53,22.98,0,0.77,5.36,192.26,0.77,7.66,4.6,0,0,1.53,0,0,0,1.53,0,12.26,2.3,0.77,0.77,0.77,15.32
120,0,0,1.96,0,9.8,17.64,0,74.47,0,1.96,0,17.64,1.96,0,0,1.96,103.87,0,0,0,17.64,0,0,5.88,172.46,0,0,1.96,0,0,0,0,0,1.96,0,0,7.84,0,0,5.88,0,5.88
