stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,12.59,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,22.03,0,3.15,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,16,4,0,0,0,0,0,0,0,2,0,4,0,0,0,5,0,0,5,6,1,1,6,0,26,11,0,1,13,8,0,0,2,0,0
 24-34,0,0,0,4.93,4.1,3.28,0,0,0,0,0.82,2.46,2.46,0,8.21,0,2.46,0,7.39,1.64,0,5.75,75.52,1.64,4.1,0,0,139.55,0,0,0,4.93,3.28,0,0,32.01,0,0
 36-46,0,0,0,4.83,0,2.42,0.81,0.81,0,0,0.81,0,2.42,0,3.22,0,2.42,0,6.45,1.61,0.81,1.61,176.44,1.61,7.25,0,0,119.24,0,0,0,0,4.03,0,0,17.72,0,0
 48-58,0,0,0,4.02,0,26.97,1.15,1.15,1.15,4.02,0,2.3,1.72,0,2.87,0.57,1.72,0,7.46,1.15,0.57,0.57,194.52,2.87,4.02,0,0.57,49.35,0,0,0,0,6.31,0,0,19.51,0,0
 60-70,0,0.98,0,10.8,0,193.36,0.98,1.96,0,2.94,1.96,0.98,0.98,0,0.98,0,2.94,0,12.76,3.93,1.96,1.96,429.91,1.96,3.93,0,0.98,46.13,0,0,0,0,4.91,0.98,0.98,18.65,0,0
 72-82,0,0,0,4.91,2.94,353.4,0,0.98,0,13.74,4.91,1.96,3.93,0,3.93,0,4.91,0,20.61,4.91,4.91,0.98,394.63,7.85,9.82,0,0,57.92,0,0,0,0,8.83,0.98,1.96,34.36,0.98,0.98
 84-94,0,2.12,0,21.24,0,292.06,1.06,2.12,1.06,2.12,5.31,1.06,5.31,1.06,10.62,0,8.5,1.06,16.99,7.43,0,0,221.97,4.25,7.43,0,0,120.01,0,0,0,0,2.12,3.19,2.12,32.92,0,0
 96-106,0,2.19,0,29.51,1.09,216.38,0,3.28,0,12.02,10.93,0,0,1.09,6.56,0,5.46,2.19,17.49,12.02,2.19,1.09,175.95,6.56,14.21,0,0,124.58,0,0,0,0,3.28,1.09,3.28,38.25,3.28,0
108-118,0,0.77,0,30.64,2.3,160.85,0,1.53,0.77,9.19,13.79,0,1.53,0.77,8.43,0,2.3,0,17.62,5.36,0,0.77,214.47,3.06,15.32,0,1.53,85.02,0,0,0.77,0,4.6,6.13,3.06,21.45,0.77,0
120,0,0,0,25.48,3.92,143.06,0,1.96,0,13.72,7.84,0,1.96,0,5.88,0,5.88,0,5.88,5.88,1.96,1.96,217.54,9.8,15.68,0,1.96,82.31,0,0,0,0,1.96,1.96,0,19.6,0,0
