stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,61.3,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,5.26,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,5.26,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,3.15,3.15,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,179.38,28.32,0,0,9.44,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,93,38,10,0,1,0,5,1,1,1,0,0,0,0,0,0,14,0,0,24,1507,350,1,109,1,2,0,1,1,2,3,282,0,0,33,0,0
 24-34,0,0,0,1.64,18.88,7.39,18.88,0,0.82,0,34.48,0,0,2.46,0,2.46,0,0.82,0.82,0,18.06,0,0,4.1,2464.21,73.06,8.21,12.31,0,4.93,0,0,0,4.1,1.64,589.37,0,0,178.95,0,0
 36-46,0,0,0,0,7.25,1.61,26.59,0,0,0,176.44,0,0,1.61,2.42,0,0.81,0,0,1.61,11.28,0.81,0,6.45,1727.35,13.7,1.61,4.03,0,5.64,0,0,0.81,0.81,0,593.78,0,0,128.1,0,0
 48-58,0,0,0,0,6.89,0,40.74,1.15,1.72,0,351.74,0,0,4.02,5.74,0,0,0,0.57,0,13.2,0.57,0.57,4.02,696.6,6.31,1.72,0,0,0.57,0,0,0,0,0,413.71,0,0,115.33,0,0
 60-70,0,0,0,0,2.94,0,22.58,0,0,0.98,339.61,1.96,0,0.98,2.94,0,0,1.96,0,0,7.85,0,0,2.94,161.95,1.96,0.98,1.96,0,1.96,0,0,0,0,0,110.91,0,0,98.15,0,0
 72-82,0,0,0,0,5.89,1.96,53.01,0,0,0,376.96,0,0,1.96,9.82,0,1.96,1.96,0,0,14.72,0,0,1.96,152.16,0,0.98,1.96,0,0.98,0,0,0,0,0,22.58,0,0,195.35,0.98,0
 84-94,0,0,0,0,1.06,1.06,41.42,0,0,1.06,249.58,0,0,2.12,20.18,0,0,1.06,0,0,6.37,0,1.06,2.12,70.09,1.06,0,0,0,1.06,0,0,0,0,0,25.49,1.06,0,163.55,0,1.06
 96-106,0,0,0,0,12.02,1.09,28.41,1.09,1.09,0,243.7,2.19,0,1.09,14.21,0,0,3.28,1.09,0,8.74,0,2.19,1.09,77.59,0,0,2.19,0,0,0,0,1.09,0,0,5.46,0,0,190.16,2.19,0
108-118,0,0,0,0,3.06,0,19.92,0,0,1.53,229.79,0,0,0,11.49,0,0,0,0.77,0,7.66,0,0,0.77,73.53,0,0,0.77,0,2.3,0,0,0.77,0,0,2.3,1.53,1.53,140.17,0.77,0
120,0,0,0,0,3.92,0,29.4,0,0,0,290.05,1.96,0,0,13.72,0,0,0,0,0,3.92,0,0,1.96,62.71,0,0,1.96,0,1.96,0,0,1.96,0,0,7.84,0,1.96,111.71,0,0
