stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,39.53,1001.52,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,36.78,533.28,0,0,0,0,0,0,24.52,6.13,12.26,0,18.39,0,0,0,0,0,0
  7-9,10.51,2.63,2.63,0,0,15.77,7.89,0,126.18,5.26,39.43,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,22.03,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,0,0,6,0,0,0,3,4,1,1,2,0,0
 24-34,0,0,0.82,0,0,0,0,1.64,0.82,0,0,0,4.93,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0.81,0,0,0,4.03,2.42,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0.98,0.98,0,0,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,1.09,1.09,0,0,0,2.19,2.19,0,0,0,0,0
108-118,0,0,0,0,0,1.53,0,0,0,0,0,0,7.66,0.77,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0
