stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,7.89,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,15,2,0,0,1,1,1,1,2,11,0,0,0,0
 24-34,0,0,0.82,0.82,0,0.82,0,0,1.64,0,0,0,0,0,0,0,0,1.64,0,1.64,189.62,9.85,0,0,1.64,0,0,0,0.82,42.68,0,0,0,0
 36-46,0,0,0,1.61,0,3.22,0,0,12.09,0,0,0,0,0,0,0,0,16.11,0,1.61,436.67,12.89,0,0,0,0,0,0,0,67.68,0,0,0,0
 48-58,0,0,0,1.72,0,18.36,0,0,43.61,0,0,0.57,0,0,0,0.57,0,9.75,0,3.44,698.89,14.92,0,0,0,0,0,0,0,43.61,0,0,0,0.57
 60-70,0,0,0.98,1.96,0,37.3,0,0,53,0,0,0,0,0,0,0,0,5.89,0.98,1.96,1167.03,22.58,0.98,0,1.96,0,0,0,0,53,0,0,0,0
 72-82,0,0,0,6.87,1.96,82.46,0.98,0,72.64,0,0,0,0,0.98,0,0.98,0.98,19.63,0.98,0,1260.45,19.63,0,0,1.96,0,0,0,0,37.3,0,0,0,0
 84-94,0,0,0,5.31,1.06,77.53,0,2.12,50.98,3.19,0,0,1.06,0,1.06,0,1.06,13.81,1.06,3.19,601.11,8.5,1.06,0,3.19,0,0,0,0,19.12,0,0,0,0
 96-106,0,0,1.09,4.37,3.28,53.55,0,0,49.18,1.09,0,0,0,0,0,0,0,9.84,0,1.09,565,20.76,0,0,7.65,0,0,0,0,10.93,1.09,1.09,1.09,0
108-118,0,0,0.77,6.13,0.77,53.62,0.77,0,44.43,0.77,0,0,0,0,0,0,0.77,4.6,0,0.77,593.62,15.32,0.77,0,2.3,0,0,0,0,6.89,0.77,2.3,0,0
120,0,0,1.96,0,0,39.2,0,0,27.44,1.96,0,0,1.96,3.92,0,0,0,0,0,1.96,519.34,11.76,0,0,0,0,0,0,0,11.76,0,0,0,0
