stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,566.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,275.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,5.26,0,0,13.14,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,155.09,2.63,0,0,36.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,34.62,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,191.97,3.15,0,0,78.67,0,0,3.15,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,8,2,5,0,0,3,0,0,0,0,0,0,0,0,11,0,0,5,67,1,0,0,1,0,2,0,2,2,0,10,22,0,0,1,0,0
 24-34,0,0,0,0,4.93,0,19.7,0.82,0,5.75,0.82,0,0,0,0.82,0,0.82,0.82,14.78,0,0,6.57,232.3,4.1,5.75,2.46,0,0.82,9.03,0,0,1.64,0,3.28,68.13,0,0,4.93,0,0
 36-46,0,0,0.81,0,2.42,0,33.84,0,0,8.86,0,0,0,1.61,1.61,0,0,0,14.5,0.81,0,4.83,309.38,0.81,4.03,2.42,0,0,8.06,0,0,0,0,0,66.06,0,0,2.42,0,0.81
 48-58,0,0,0,0,2.87,0,56.23,0,1.15,19.51,0,0,0.57,0,0.57,0.57,0,0,24.67,1.15,1.15,4.02,214.03,0.57,0,1.15,0,0,2.87,0,0,0.57,0,0,44.18,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,114.84,0,0,28.46,0.98,0,0,0,0,0,2.94,0,28.46,0,1.96,0,263.05,0.98,0.98,0.98,0,0,5.89,0,0,0,0,0,38.28,0,0,0,0,0.98
 72-82,0,0,0,0,5.89,1.96,78.53,0.98,1.96,27.49,0.98,0,0.98,0,0,1.96,6.87,0,35.34,2.94,1.96,5.89,192.41,0,2.94,0.98,0,0,2.94,0,0,0,0,0,22.58,0.98,1.96,2.94,0.98,2.94
 84-94,0,0,1.06,0,7.43,2.12,54.16,1.06,2.12,23.36,5.31,1.06,0,4.25,2.12,2.12,2.12,0,23.36,0,4.25,6.37,92.4,1.06,1.06,2.12,0,1.06,8.5,0,0,1.06,0,0,8.5,1.06,2.12,5.31,1.06,0
 96-106,0,0,1.09,0,5.46,1.09,39.34,1.09,0,25.14,2.19,0,0,5.46,2.19,2.19,3.28,0,19.67,2.19,1.09,0,80.87,0,2.19,1.09,0,1.09,10.93,0,0,0,0,0,2.19,0,0,3.28,0,0
108-118,0,0,0.77,0,4.6,0.77,26.81,2.3,1.53,17.62,3.06,0,0,0,0.77,1.53,2.3,0.77,16.85,1.53,2.3,2.3,91.92,0.77,1.53,2.3,0,0,9.19,0,0,0.77,0.77,0,0.77,1.53,0,2.3,0.77,2.3
120,0,0,0,0,9.8,1.96,39.2,0,1.96,15.68,3.92,0,3.92,5.88,0,0,0,0,5.88,1.96,0,3.92,103.87,0,1.96,3.92,0,0,13.72,0,0,0,0,0,0,3.92,0,1.96,1.96,0
