stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,144.96,2148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0
  5-6,208.41,3408.08,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,42.91,6.13,0,0,30.65,67.43,0,0,0,0,0,0,0,0
  7-9,49.95,65.72,0,68.35,0,0,0,155.09,0,0,0,0,0,107.78,0,0,0,0,0,0,0,0,0,1819.07,42.06,0,0,617.75,13.14,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,37.76,0,0,0,62.94,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,607.37,9.44,0,0,245.46,0,0,37.76,0,6.29,0,0,0,0
 14-21,0,0,0,2,31,7,0,10,0,0,0,2,2,0,0,1,0,0,0,5,0,0,5,61,0,1,2,3,3,17,2,1,17,24,0,1,0
 24-34,0,0,0,0,6.57,0.82,0,11.49,0,0,0,0.82,0,0,0,0.82,0.82,0.82,0,9.03,0,0,3.28,50.07,1.64,0.82,4.1,0,5.75,0,0,0,0.82,7.39,0,0.82,0
 36-46,0,0,0,0,3.22,0,0,9.67,0,0,0,3.22,0,0,0,0,0,0,0,6.45,0,0.81,0,24.98,0,2.42,0,0,3.22,0,0,0,0,6.45,0,0.81,0
 48-58,0,0,0,0,3.44,0.57,0,6.89,0,0,0,1.15,0,0,0,0,0.57,0.57,0.57,5.16,0,0,2.3,14.92,0,0.57,1.72,0,1.72,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,2.94,0,0,2.94,0,0,1.96,0.98,0,0,0,0,0,0,0,1.96,0,0,0,7.85,0,0,0,0,0.98,0,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,8.83,2.94,0,12.76,0,0,0,11.78,0,0,0.98,1.96,3.93,0,0,10.8,0,0,0.98,15.71,0,2.94,1.96,0,0.98,0,0,0,0,1.96,0,0,0
 84-94,0,0,1.06,0,9.56,0,0,5.31,0,0,0,0,3.19,0,0,1.06,0,1.06,0,5.31,0,0,0,6.37,0,0,3.19,0,18.05,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,0,2.19,1.09,0,0,1.09,2.19,0,0,1.09,0,0,0,2.19,0,0,1.09,3.28,0,2.19,0,0,14.21,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,11.49,1.53,1.53,6.13,0,2.3,0.77,2.3,1.53,0,0,0.77,0.77,0,0,6.13,0.77,0,3.06,12.26,0,2.3,6.89,0,10.72,0,0,0,0,0,0.77,0,0.77
120,0,0,0,0,13.72,0,0,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,5.88,0,1.96,0,0,11.76,0,0,0,0,0,1.96,1.96,0
