stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,taste
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,2,1,0,0,1,0,0,5,0,0,0,1,0,2,0
 24-34,0,0,0,1.64,0,0,0.82,0,0,9.85,0.82,0,0,0,0,1.64,0
 36-46,0,0,0,1.61,0,0,0,0,0,4.03,0,0,0,0,0,0.81,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,2.3,0,0,0,0,0,0.57,0
 60-70,0,0,0,2.94,0,0,0,0,0,8.83,0,0,0,0,0,0,0
 72-82,0,0,0.98,3.93,0.98,0,1.96,0.98,0.98,5.89,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,2.19,1.09,0,0,1.09,2.19,0,0,0,0,1.09,0,0
108-118,0,0,0.77,2.3,0,0,0.77,0,0,2.3,0,0,0,0,0,0,0.77
