stage,axial,epidermis,erythrocytes,eye,fast_muscle,glial,hatching_gland,heart,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0.81,0,0.81,0,0,0,0.81,0.81,0.81,4.83,0,0,0,0,0,0,0.81
 48-58,0,0,0,1.15,4.02,1.72,0,0,0,0,0,2.87,0,1.72,3.44,0,0,0,1.15,0.57,0,0
 60-70,0,0,0,6.87,8.83,1.96,0,0,0.98,0,0,3.93,0,2.94,4.91,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,6.87,2.94,0,0,0,0,0,0,5.89,0,0,5.89,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,2.12,2.12,0,0,0,0,0,0,0,1.06,1.06,0,0,1.06,1.06,0,1.06,0
 96-106,0,1.09,0,6.56,8.74,2.19,0,0,1.09,0,0,3.28,0,1.09,4.37,0,1.09,1.09,1.09,0,0,0
108-118,0,0,0,4.6,3.06,0.77,0,0,0.77,0,0.77,3.06,0,2.3,0.77,0,0,0,2.3,0,0,0.77
120,0,0,1.96,3.92,3.92,1.96,0,0,0,1.96,0,0,0,1.96,1.96,0,0,0,0,0,0,0
