stage,axial,blastomeres,eye,hatching_gland,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,26.36,118.6,0,0,0,0,0,0,0,13.18,0,0
  5-6,0,147.11,0,0,0,0,0,6.13,6.13,0,0,0
  7-9,2.63,0,5.26,0,0,0,0,39.43,18.4,0,0,0
 10-12,0,0,0,3.15,0,0,0,28.32,9.44,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,2.46,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,2.42,0,0.81,0,0
 48-58,0,0,0.57,0,0,0.57,0,1.15,0,0,0,0.57
 60-70,0,0,2.94,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,1.06,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0
