stage,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,1,0,0,0
 24-34,0,3.28,0.82,34.48,0,0,0,0,0,0,0,0.82,0.82,4.1,0,0.82,32.01,0.82,0.82,0.82,4.93,0,1.64,7.39,0.82,0,0
 36-46,0,0.81,0,53.17,0,0,3.22,0,0,0,0,0,0,3.22,0,4.03,37.06,1.61,0.81,0,2.42,0.81,0,5.64,0.81,0,1.61
 48-58,0,0.57,0,45.9,0,0,4.02,0,0,0,0,0,0,5.74,0,1.72,30.41,1.15,0,0,0.57,0,0,4.59,0.57,0,1.15
 60-70,0,0,0,62.82,0,0,4.91,0,0,0.98,0,0,0.98,5.89,0.98,0.98,22.58,0,0,0.98,2.94,0,0,3.93,0.98,0,0.98
 72-82,0,0,0.98,52.03,0.98,0,0.98,0.98,0,0,0.98,0,0,11.78,0,0.98,11.78,0,0,0,0.98,0.98,0,0.98,0,0.98,0
 84-94,0,0,0,54.16,0,0,1.06,0,0,1.06,0,0,0,3.19,1.06,0,3.19,1.06,0,0,2.12,0,0,0,2.12,0,0
 96-106,0,1.09,0,31.69,0,1.09,1.09,0,1.09,1.09,1.09,0,0,1.09,0,0,5.46,0,0,0,3.28,0,0,0,0,0,0
108-118,0,2.3,0.77,36,0,0,3.83,0.77,0,0,0,0,0.77,6.89,0,0.77,6.13,0,1.53,0.77,3.83,0,0,0,0,0,0
120,0,1.96,0,43.12,0,1.96,3.92,0,0,1.96,0,0,0,9.8,0,1.96,3.92,0,0,3.92,3.92,0,0,0,0,0,0
