stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,6,25,4,0,6,0,0,1,2,1,0,0,0,0,12,0,8,112,4,0,2,0,0,0,6,1,1,9,20,0,0,1,0,0
 24-34,0,1.64,2.46,3.28,0.82,0,14.78,0,0.82,1.64,0,1.64,0,0,0,0,20.52,0,5.75,261.85,0,5.75,0,0,0,0,0,0,0,2.46,60.74,0,0,4.1,0,0
 36-46,0,0,0,1.61,0.81,0,27.39,0,2.42,7.25,0,0.81,0,0,0,0,22.56,0.81,4.83,401.22,0,12.89,0.81,0,0,0,0,0,0,0,43.51,0,0,1.61,0,0
 48-58,0,0.57,0,1.15,0,0,95.25,0,1.15,10.33,0,0,0,0,0,0,25.25,1.15,3.44,579.54,0,5.74,0,0,0,1.15,0,0,0,0,38.44,0,0,4.02,0,0.57
 60-70,0,0,0,0.98,0,0,286.6,0,0.98,24.54,0,0,0,0,0,0,29.45,2.94,1.96,1055.14,0,9.82,0.98,0,0,0,0,0,0,0,45.15,0,0.98,0.98,0,0
 72-82,0,3.93,0,7.85,0.98,0,468.25,0.98,2.94,45.16,0,0.98,0,0.98,0.98,0,32.39,0,2.94,1302.67,0,8.83,4.91,0,0,1.96,0,0,0,0,52.03,0,1.96,1.96,3.93,1.96
 84-94,0,1.06,0,10.62,0,0,292.06,0,1.06,26.55,0,0,0,0,0,1.06,28.68,5.31,1.06,624.48,0,11.68,6.37,0,0,1.06,0,0,0,0,23.36,1.06,1.06,0,2.12,0
 96-106,0,0,0,9.84,1.09,1.09,354.08,1.09,0,29.51,0,0,1.09,0,1.09,0,16.39,1.09,3.28,583.58,0,18.58,6.56,0,0,1.09,0,0,0,0,9.84,1.09,1.09,0,2.19,1.09
108-118,0,0.77,0,13.02,1.53,0,247.41,0,1.53,22.98,0.77,0,0.77,2.3,2.3,0,25.28,0.77,3.06,649.54,0.77,14.55,3.83,0,3.06,1.53,0,0.77,0,0,9.96,0.77,0.77,0,4.6,0
120,0,1.96,0,11.76,0,0,262.61,0,0,33.32,0,0,1.96,0,1.96,0,15.68,1.96,5.88,758.44,0,9.8,3.92,0,0,0,0,1.96,0,0,7.84,0,0,0,3.92,0
