stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0.82,0,0,36.94,0,0,10.67,0,0.82,0,0
 36-46,0,0,0,10.47,0,0,0,0,0,0,0,0.81,87.82,0,0,13.7,0,0,0,0
 48-58,0,0.57,0,21.8,3.44,0,0,0,0,1.15,0.57,0,103.28,0,0,20.66,0,0,0,0
 60-70,0,0,0,81.47,5.89,0,0,0,0,5.89,0,0.98,133.49,0,0,16.69,0.98,0,0,0
 72-82,0.98,0,0,58.9,0,0,0.98,0,0,1.96,0,0.98,93.26,0,0.98,7.85,0,0,0,0
 84-94,0,2.12,0,36.11,2.12,0,0,0,0,1.06,0,0,46.73,1.06,0,5.31,0,1.06,1.06,1.06
 96-106,1.09,0,0,20.76,2.19,0,0,1.09,0,2.19,0,0,49.18,0,0,1.09,0,2.19,1.09,0
108-118,0,0.77,0.77,11.49,0.77,0,0.77,0,0.77,0,0,0,32.94,0,0,3.06,0,0,0,0.77
120,0,0,0,13.72,0,1.96,0,0,0,0,0,0,52.91,0,0,0,0,0,0,0
