stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,2,14,0,0,0,1,7,0,1,0,0
 24-34,0,0.82,4.1,0,0,0,0,0,0,1.64,0,1.64,41.86,0.82,0,0,0,10.67,0,3.28,0,0
 36-46,0,0,4.03,0,0,2.42,0,0,0,4.03,0,0.81,66.87,0,0,0,0,18.53,0,1.61,0,1.61
 48-58,0,0,9.75,0,0.57,5.16,0,0,0,2.87,0,0.57,67.14,0,0.57,0,0,18.94,0,1.15,0,0.57
 60-70,0,0,39.26,0,0,5.89,0,0.98,0.98,11.78,0,0,74.6,0,0,0,0,8.83,0.98,0,0,1.96
 72-82,0,0,53.01,0,0,8.83,0.98,0.98,0,11.78,0,1.96,47.12,0,0,0,0,7.85,0,2.94,0,0.98
 84-94,0,0,16.99,0,0,4.25,0,1.06,0,12.74,1.06,0,29.74,0,0,0,0,4.25,1.06,1.06,0,0
 96-106,0,0,13.11,1.09,0,2.19,0,0,0,8.74,0,1.09,22.95,0,0,0,0,3.28,0,1.09,1.09,1.09
108-118,0,2.3,12.26,0,0,4.6,0,2.3,0,6.89,0,0,22.98,0,1.53,0,0,2.3,0,1.53,0,0.77
120,0,1.96,11.76,0,0,7.84,0,1.96,0,5.88,0,3.92,19.6,0,0,0,0,0,0,0,1.96,0
