stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,1726.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1373.04,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,24.52,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,28.92,0,0,57.83,0,0,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0,573.06,2.63,0,0,178.75,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,15.73,0,0,53.5,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,358.75,3.15,0,0,151.05,0,0,0,3.15,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,3,24,1,13,0,0,0,3,0,0,0,0,0,0,0,0,0,16,0,10,192,3,0,2,6,0,0,1,28,3,1,12,85,0,0,1,0,0
 24-34,0,0,0,0,4.93,0.82,23.8,0,0.82,0,4.93,0,0,0,0,0.82,0,0,0.82,0,12.31,0,8.21,239.69,1.64,2.46,3.28,0,0,2.46,0,0,0,0,4.1,49.25,0,0,1.64,0,0.82
 36-46,0,0,0,0,0,0.81,58.01,0,0,0,7.25,0,0,1.61,0,0,0,0,0,1.61,21.75,0.81,6.45,242.51,0,3.22,0.81,0,0,1.61,0,0,0,0,0,69.29,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,72.3,0,0,0.57,9.18,0,0,0,0,0,0,0,0,0,27.54,1.15,2.87,176.73,0.57,0.57,0,0,0,0.57,0.57,0,0,0,0,30.41,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,74.6,0.98,0,0.98,7.85,0,0,0,0,0,0,0,0.98,0,18.65,1.96,0,148.21,0,0,0,0,0,0,0,0,0,0,0,18.65,0,1.96,0.98,0,0.98
 72-82,0,0,0.98,0,3.93,0.98,69.7,0,0,1.96,19.63,0,0,0.98,0,0,0,0.98,0,0,31.41,0,2.94,153.14,0,5.89,2.94,0,0,0.98,0,0,0,0,0,12.76,0.98,0,1.96,0,0.98
 84-94,0,0,0,0,4.25,1.06,48.85,1.06,1.06,1.06,9.56,2.12,0,1.06,0,1.06,0,2.12,0,0,19.12,2.12,5.31,70.09,2.12,0,1.06,0,0,0,0,0,1.06,0,0,6.37,1.06,1.06,4.25,1.06,0
 96-106,0,0,1.09,0,1.09,0,24.04,0,2.19,0,8.74,1.09,0,0,1.09,1.09,1.09,2.19,0,1.09,17.49,0,0,63.39,0,1.09,3.28,0,0,3.28,0,0,1.09,0,0,3.28,1.09,0,2.19,0,0
108-118,0,0,0,0,3.83,0.77,16.85,0,0,0.77,8.43,0.77,0,0,0.77,0.77,0,1.53,0.77,0,11.49,0,1.53,78.13,1.53,0.77,0,0,0,1.53,0,0,0,0,0,0.77,0,0.77,1.53,0,0
120,0,0,1.96,0,1.96,1.96,11.76,0,0,3.92,11.76,3.92,0,0,1.96,1.96,0,0,0,0,13.72,0,3.92,70.55,0,0,1.96,0,1.96,3.92,0,0,0,0,0,1.96,0,0,1.96,0,1.96
