stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mural_cell,neural,pericytes,periderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,2.46,0,0,1.64,0,0.82,0,0
 36-46,0.81,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0.57,1.15,0,0.57,0,0.57,0,0.57,0,1.72,0,0,0,1.15,1.72,0,0
 60-70,0,0.98,0,13.74,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,2.94,0,37.3,1.96,0,0,0.98,0,3.93,0,0,0.98,0,0.98,0.98,0
 84-94,0,5.31,0,14.87,1.06,0,0,0,0,1.06,1.06,0,7.43,0,1.06,1.06,1.06
 96-106,0,1.09,0,39.34,6.56,0,0,2.19,0,1.09,0,1.09,17.49,0,1.09,0,0
108-118,2.3,0.77,0.77,19.92,6.13,0,0.77,1.53,0.77,2.3,0,0.77,13.79,0,0,0,0
120,1.96,3.92,0,39.2,29.4,0,0,0,0,0,0,0,9.8,0,3.92,0,0
