stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.87,0,0,0,3.44,0,0,4.02,0,0.57,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0.98,0,0,7.85,0,0,0,7.85,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,0,0.98,0,0,0,1.96,53.99,0,0,0,34.36,2.94,0,8.83,0,0,0,0,0,0,0,0.98,0
 84-94,0,0,2.12,0,1.06,0,3.19,1.06,0,0,0,1.06,88.15,0,0,0,106.2,1.06,0,6.37,0,0,0,0,0,0,0,0,0
 96-106,0,0,4.37,1.09,1.09,3.28,3.28,3.28,0,0,1.09,0,149.72,0,0,0,236.05,1.09,0,46.99,0,1.09,0,0,2.19,0,1.09,0,1.09
108-118,0,0,1.53,0.77,2.3,0,11.49,11.49,0.77,1.53,0.77,3.06,151.66,0,0.77,1.53,312.51,2.3,0.77,30.64,0.77,0,0,0.77,0,0.77,0.77,1.53,0
120,0,0,1.96,1.96,5.88,0,7.84,5.88,0,0,0,1.96,139.14,1.96,1.96,0,264.57,0,1.96,27.44,0,0,0,0,1.96,0,0,0,0
