stage,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,2,5,2,0,0,1,1,0,0,1,0,1,5,0,0,2,42,1,0,1,0,1,5,0,1,13,19,0,0,0
 24-34,0,4.1,6.57,0,0,3.28,0,0,0,0,0,0,5.75,0,0,6.57,124.77,0,0.82,0.82,0,4.93,0,0,0,3.28,34.48,0,2.46,0
 36-46,0,0.81,11.28,0,0,9.67,0,0,0,0,0,0,12.09,0,0.81,4.03,178.05,2.42,0.81,0.81,0,7.25,0,0,0,0,37.06,0,2.42,0
 48-58,0,0.57,12.62,0.57,1.15,16.07,0,0,0,0,0,0,13.77,0,0,2.3,118.2,0.57,0,0,0,0,0,0,0,0,22.95,0,1.15,0
 60-70,0,0.98,17.67,0,0,9.82,0,0,0,0,0,0,18.65,0,0,0.98,68.71,0,0,0.98,0,6.87,0,0,0,0,13.74,0,0,0
 72-82,0,1.96,11.78,0,0,15.71,0.98,0.98,0,0,0,0,18.65,0,1.96,2.94,56.94,0,0,0.98,0,0,0,0,0,0,0.98,0.98,3.93,0
 84-94,0,2.12,14.87,1.06,0,4.25,2.12,0,0,0,0,0,19.12,0,0,3.19,31.86,0,2.12,0,0,12.74,0,0,0,0,4.25,0,6.37,3.19
 96-106,0,2.19,9.84,0,1.09,9.84,0,0,0,0,1.09,0,15.3,0,0,0,19.67,0,0,0,0,7.65,0,0,0,0,1.09,1.09,3.28,0
108-118,0,2.3,7.66,0,0,10.72,0.77,0,0,1.53,0,0,14.55,0.77,1.53,0,27.57,0,0,1.53,0.77,1.53,0,0.77,0.77,0,0.77,0.77,0.77,0
120,0,1.96,13.72,0,0,9.8,0,0,1.96,1.96,1.96,0,11.76,1.96,1.96,1.96,29.4,0,0,1.96,1.96,1.96,0,1.96,0,0,0,3.92,0,1.96
