stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,7.89,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,99.89,5.26,0,0,36.8,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,88.12,3.15,0,0,59.79,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,22,3,0,15,0,0,1,0,1,1,0,1,0,0,0,1,10,0,0,7,164,2,0,1,2,1,0,11,4,0,12,62,0,0,1,0
 24-34,0,0,0,0,8.21,1.64,0,91.12,0.82,0,13.13,0,0,0.82,0.82,0,0,2.46,0,0,53.36,0,0,16.42,574.6,0,1.64,7.39,0,2.46,0.82,0,0.82,0.82,2.46,102.61,0,0,7.39,0
 36-46,0,0,0,0,4.03,3.22,0,165.97,0.81,0,6.45,0,0,0,0,0,0,0,0,0,32.23,0,0.81,10.47,433.45,0,2.42,1.61,0,4.83,0,0,0,0,0,82.98,0,0,2.42,0
 48-58,0,0,0,0,6.89,2.3,0,180.17,0,1.72,7.46,0.57,0,0,0.57,0,0.57,0.57,0,0,26.4,0.57,2.87,6.89,293.79,1.15,0.57,0.57,0,1.15,0,0,0,0,0,51.07,0,0,2.3,0
 60-70,0,0,1.96,0,6.87,0,0,160.97,0,0,17.67,1.96,0,0,1.96,0,0,1.96,0,0,28.46,0,0.98,5.89,214.95,0.98,1.96,0,0,0,0,0,0,0,0,28.46,0,0,0.98,0
 72-82,0,0,0,0,2.94,2.94,0,76.57,0,0,15.71,0,0,0.98,0,0,0,0,0,0,22.58,0,0.98,4.91,109.95,0,0.98,0,0,0.98,0,0,0,0,0,9.82,0,0,0,0
 84-94,0,0,0,0,4.25,3.19,0,81.78,0,1.06,10.62,2.12,0,0,3.19,1.06,0,0,1.06,0,22.3,0,2.12,2.12,65.85,0,1.06,2.12,0,0,0,0,0,0,0,4.25,0,2.12,1.06,1.06
 96-106,0,0,0,0,0,2.19,0,52.46,0,2.19,8.74,0,0,0,0,0,0,0,0,0,16.39,0,1.09,1.09,55.74,0,2.19,1.09,0,0,0,0,0,0,0,3.28,0,0,1.09,0
108-118,0,0,0,0,0.77,5.36,0.77,34.47,0,0,6.89,0.77,0,0,1.53,1.53,0,0.77,0.77,0,5.36,0,1.53,1.53,51.32,0,0,0.77,0,0,0,0,0.77,0,0,0.77,0.77,0.77,0.77,0
120,0,0,0,0,5.88,17.64,0,74.47,0,3.92,19.6,0,0,0,3.92,3.92,1.96,0,0,0,11.76,0,1.96,3.92,103.87,1.96,1.96,1.96,0,1.96,0,0,1.96,0,0,0,1.96,1.96,1.96,0
