stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.61,0,0.81,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0.81
 48-58,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0.98,0,0,0,0
 72-82,0,0,5.89,0,3.93,0,0,0.98,0,0,0.98,0,0,0.98,0.98,0,3.93,0,0,22.58,0,0,0.98,0.98,0,0,0
 84-94,0,0,15.93,0,1.06,1.06,0,0,0,3.19,0,0,0,0,0,0,0,0,0,59.47,0,0,0,0,0,0,1.06
 96-106,0,1.09,53.55,1.09,13.11,26.23,0,3.28,0,10.93,0,0,1.09,10.93,9.84,1.09,29.51,0,0,454.62,0,1.09,0,0,0,2.19,1.09
108-118,0,0,42.89,0,3.06,14.55,0.77,3.06,0.77,14.55,0,0,0,1.53,3.06,0,2.3,0.77,0.77,236.68,0,0,0,0,0.77,0,0
120,0,0,13.72,0,0,11.76,0,0,0,1.96,0,0,0,0,5.88,0,5.88,0,0,203.82,0,0,0,0,0,0,1.96
