stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,somites,spinal_cord,vasculature
 14-21,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
 24-34,0,0.82,0.82,0,0.82,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0.57,2.3,0,0,0,0,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,0,1.96,0.98,0,0,0.98,0.98,0,0,0,0,0.98,0
 72-82,0.98,0,0,0.98,0.98,0,0,0,2.94,0,2.94,0,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,0,2.12,7.43,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,14.21,0,3.28,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0,1.53,0.77,0,0,0,0.77,12.26,0,1.53,0,0,0.77,0,0,0.77,0,0,0
120,0,0,0,1.96,1.96,1.96,1.96,0,15.68,0,0,0,0,0,0,0,1.96,0,0,0
