stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,6.29,0,0,0
 14-21,0,7,1,0,5,0,0,6,0,0,0,0,0,0,2,0,3,34,4,0,2,1,0,3,0,3,32,0
 24-34,0,3.28,0,0,4.93,0,0,4.93,0,0,0.82,0,0,0,2.46,0,3.28,68.13,2.46,2.46,0,0,0,0,0,0.82,38.58,0.82
 36-46,0,1.61,0,0,50.76,0,0,4.03,0,0,0,0,0,0.81,2.42,0,0.81,42.7,1.61,0.81,0,0,0,0,0,0,32.23,0
 48-58,0,1.15,0,0,117.63,0,0.57,12.05,0,0,0,0,0.57,0,4.02,0,2.87,34.43,0,0,0.57,0,0,0,0,0,30.99,0.57
 60-70,0,0,0.98,0,163.91,0,0.98,32.39,0,0,0,0,0,0,2.94,0.98,0,26.5,0,0,0.98,0,0,0,0,0,17.67,0
 72-82,0,0,0,0,78.53,0,0,30.43,0,0,0,0,0,0,2.94,0,1.96,29.45,0,0.98,0.98,0,0,0,0,0,8.83,1.96
 84-94,0,2.12,0,0,55.23,1.06,0,15.93,0,0,0,0,0,0,3.19,0,0,21.24,0,0,2.12,0,0,0,0,0,9.56,0
 96-106,0,0,0,1.09,45.9,0,0,19.67,0,0,0,1.09,0,0,1.09,0,2.19,10.93,0,0,0,0,1.09,0,0,0,2.19,0
108-118,0,0.77,0,0,58.98,0,0,29.87,0,0,0,0,0.77,0,0,0,0,11.49,0,0,0.77,0,0,0,0.77,0,2.3,0
120,0,0,0,0,43.12,0,0,19.6,0,1.96,0,0,0,0,3.92,0,1.96,23.52,0,0,1.96,0,0,0,0,0,3.92,0
