stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,4,0,8,32,4,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,21.34,0,0,2.46,0,0.82,0.82,0.82,10.67,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,2.42,0,3.22,78.15,0,0,0,0,0,0,0,13.7,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,7.46,0,0,0.57,2.87,0,0,0,0,0,4.59,0,0,118.2,0,0,0.57,0,0,0,0,16.64,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,60.85,1.96,0.98,0,1.96,0,0,0,0,0,1.96,0,0,268.94,0,0,0,0,0.98,0.98,0,16.69,0,0,0.98,0,0.98
 72-82,0,0,0,0,0,0,78.53,0,1.96,0,11.78,0.98,0,0,0,1.96,7.85,0,0,361.25,0,0,0.98,0,0,0,0,18.65,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,53.1,0,0,0,4.25,1.06,0,0,0,0,3.19,2.12,0,165.68,1.06,0,1.06,0,0,0,0,7.43,1.06,0,0,2.12,1.06
 96-106,0,0,0,0,3.28,0,33.88,0,3.28,0,12.02,0,0,1.09,0,1.09,3.28,1.09,1.09,179.23,1.09,0,1.09,0,0,0,0,6.56,0,3.28,0,0,0
108-118,0,0,0.77,0,1.53,0.77,41.36,0.77,1.53,0.77,6.13,0,0,0,0.77,0,4.6,0,0,160.09,0,0,0.77,0,0,0,0,6.89,0,0,0,0,0
120,0,0,0,0,3.92,0,41.16,1.96,0,0,5.88,0,0,0,0,0,5.88,0,0,270.45,0,0,0,0,0,0,0,3.92,0,0,0,0,0
