stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.12,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,15,0,2,0,1,0,2,1,1,0,0,0,0,0,0,0,11,0,0,0,220,1,0,0,13,0,0,3,0,0,61,0,0,0,0,0
 24-34,0,0,0.82,35.3,4.1,4.93,0,1.64,0,0,0.82,0,1.64,0,0,0,0,0,0,27.09,0,0,4.93,326.7,0,1.64,0.82,0,0,1.64,0,0,1.64,24.63,0,0,1.64,0,0
 36-46,0,0,0,20.95,1.61,7.25,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,29,0,0,8.06,479.37,0,0,0.81,0,0,3.22,0,0,0,71.7,0,0.81,9.67,0,0
 48-58,0.57,0,0,46.48,1.72,39.59,0,2.87,0.57,10.9,0,0,1.15,0,0,0,0,0,1.15,18.36,1.15,0.57,18.94,598.48,0.57,1.15,0,0,0,7.46,0,0.57,0,105.01,0,0.57,8.03,0,1.72
 60-70,0,0,0,43.19,0,23.56,4.91,0,0,5.89,0.98,0,0,0,0.98,0,0,0,0,30.43,0.98,0,14.72,502.54,0,0,0,0,0,6.87,0,0,0,61.84,0,1.96,4.91,0,0.98
 72-82,0,0,0,80.5,2.94,43.19,2.94,0,0,11.78,0,0,1.96,0,0.98,0,0,0,0,39.27,1.96,0.98,10.8,403.46,0,1.96,0,0,0,8.83,0,0,0,35.34,0,2.94,5.89,0,1.96
 84-94,1.06,0,0,128.51,2.12,39.3,3.19,8.5,0,8.5,1.06,0,1.06,1.06,9.56,0,1.06,0,0,28.68,0,1.06,8.5,295.25,0,3.19,1.06,0,0,32.92,0,0,0,30.8,0,1.06,6.37,0,0
 96-106,0,0,0,139.88,2.19,45.9,2.19,2.19,1.09,14.21,1.09,0,1.09,1.09,16.39,0,1.09,0,0,38.25,2.19,1.09,10.93,259,1.09,0,3.28,0,2.19,21.86,0,0,0,5.46,2.19,3.28,5.46,1.09,1.09
108-118,0,0,0,146.3,1.53,9.19,3.06,9.19,0,21.45,1.53,0,1.53,0,29.11,0.77,0,0.77,0,18.38,0.77,0,8.43,341.62,0,0.77,0,0,0,18.38,0,0,0,8.43,0.77,0.77,4.6,0,0
120,0,0,0,113.67,0,15.68,3.92,1.96,0,21.56,0,0,1.96,1.96,11.76,0,0,1.96,0,13.72,0,0,5.88,292.01,0,0,0,0,0,11.76,0,0,0,3.92,0,0,5.88,0,0
