stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,41,1,0,0,0
 24-34,0,2.46,4.1,0.82,0,0,0,0,0,0,0,7.39,0,0,0,0.82,2.46,0,1.64,0,0.82,9.03,0,0,8.21,0,0,0,94.4,0.82,0,0.82,0
 36-46,0,0,0.81,0,0,0,0,0,0,0,0,6.45,0,0,0,0,8.06,0,0,0,0,12.89,0,0,3.22,0,0.81,0,70.09,0.81,0,0,0
 48-58,0,0,0,1.15,0,0,0.57,0,0,0,0.57,16.64,0,0,0,2.87,5.74,0,1.15,0,0,11.48,0,0,6.31,0,0,0,44.76,0.57,0,0,0
 60-70,0,1.96,0,0.98,0.98,0,21.59,0,0.98,0.98,1.96,28.46,0,0,0.98,7.85,16.69,0,2.94,0,0,13.74,0,0,20.61,0,0.98,0,38.28,0,1.96,0,0
 72-82,0,16.69,1.96,2.94,0.98,0,29.45,0.98,0,0.98,2.94,172.77,0.98,0,0,21.6,81.48,0,15.71,0,0,47.12,0,0.98,40.25,0,1.96,0,75.59,2.94,8.83,0.98,0
 84-94,0,13.81,6.37,1.06,1.06,0,16.99,0,1.06,1.06,0,310.11,0,0,1.06,32.92,292.06,1.06,16.99,0,1.06,35.05,1.06,0,67.97,0,3.19,0,156.12,3.19,40.36,0,1.06
 96-106,1.09,17.49,12.02,5.46,8.74,1.09,30.6,0,0,2.19,1.09,457.9,4.37,1.09,0,57.92,490.69,1.09,15.3,1.09,1.09,103.82,1.09,2.19,83.06,0,6.56,0,159.56,0,113.66,1.09,2.19
108-118,0,9.19,16.85,11.49,0.77,0,20.68,0.77,0.77,0,6.89,536.17,1.53,0,0,32.94,937.54,0,14.55,0.77,3.83,97.28,0,0.77,61.28,0.77,3.06,0,145.53,0.77,144,5.36,0
120,0,7.84,3.92,1.96,1.96,3.92,7.84,0,0,0,11.76,386.08,0,0,1.96,27.44,399.8,0,3.92,0,0,82.31,0,0,68.59,0,1.96,0,99.95,1.96,52.91,0,0
