stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,0,0,0,1,0,5,0,0,0,0,1,0
 24-34,0,0,0,1.64,0,0,0,0,1.64,0,0,0,2.46,0,12.31,0,0,0,0.82,4.1,0
 36-46,0,0.81,0,2.42,0.81,0,0,0,1.61,0,0,0,0.81,0,12.09,0,0,0,0.81,2.42,0
 48-58,0,0,0.57,1.15,0,0,0.57,0,1.72,0,0,0,0.57,0.57,6.31,0,0,0,1.15,1.72,0
 60-70,0,0.98,0,1.96,0,0,0.98,0,8.83,0.98,0,0,1.96,0,9.82,0,0,0,0,3.93,0
 72-82,0,0.98,0,5.89,0,0,2.94,0.98,15.71,0,0.98,0,0.98,0,13.74,0.98,0,0,0,0,0
 84-94,0,1.06,1.06,2.12,0,0,0,0,18.05,0,0,0,1.06,1.06,4.25,0,0,0,1.06,0,1.06
 96-106,1.09,1.09,0,0,0,0,1.09,3.28,15.3,0,0,0,2.19,0,2.19,0,1.09,0,4.37,0,2.19
108-118,1.53,0.77,0,4.6,0,0.77,0.77,2.3,9.96,0,0.77,0,0.77,0,6.89,0,0,0,0.77,0,0
120,1.96,1.96,1.96,1.96,0,0,0,1.96,29.4,0,0,1.96,1.96,0,5.88,0,0,0,0,0,1.96
