stage,epidermis,eye,glial,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste
  7-9,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0
 14-21,1,0,0,0,0,1,1,0,0,0,1,0,0
 24-34,0,0,0,0,0,2.46,0,0.82,0.82,0,2.46,1.64,0
 36-46,0,0,0.81,0,0,4.03,0,0,0,0,0,0,0
 48-58,0,1.72,1.15,0,1.15,6.31,0,0,0,0,0,1.15,0
 60-70,0,2.94,1.96,0,0,8.83,0,0,0,0,0,1.96,0
 72-82,0.98,4.91,0.98,0,0.98,8.83,0,0,0,0,0,5.89,0
 84-94,0,1.06,0,1.06,1.06,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,1.09,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0.77,0,0,0.77,1.53,0,0,0,0,0.77,0,0
120,1.96,5.88,0,0,1.96,7.84,0,0,0,0,0,1.96,1.96
