stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,19,8,0,26,0,0,0,13,0,2,0,1,0,0,0,0,19,1,0,11,235,0,0,2,2,0,4,17,2,0,13,95,0,0,1,0,1
 24-34,0,0,3.28,15.6,1.64,0,79.62,0,0,0.82,13.95,0.82,0,0,1.64,0,4.93,1.64,0,43.51,0,0,15.6,596.76,4.93,0.82,5.75,0,0,10.67,0,0.82,0,3.28,82.91,0,0,7.39,0,1.64
 36-46,0,0,0,6.45,0.81,0,57.2,0,1.61,2.42,20.14,0,2.42,0.81,0,0.81,0,1.61,0.81,41.09,0,0,12.09,303.74,0,3.22,3.22,0,0,4.83,0,2.42,0,0,50.76,0,0,4.83,0,0
 48-58,0,0,0,8.61,0,0,82.63,1.15,1.15,1.15,25.25,3.44,1.72,0,0,1.15,0,0,0.57,36.72,0,0.57,5.16,201.98,0.57,0.57,5.16,0,0,8.03,0,0,0.57,0,29.26,0,0,4.59,0,0
 60-70,0,0,0,20.61,0.98,0,133.49,0,2.94,2.94,37.3,3.93,1.96,0.98,0.98,0.98,1.96,0.98,0,49.08,0,2.94,6.87,196.3,1.96,0,4.91,0.98,0.98,7.85,0,0,0.98,0,21.59,0,0.98,3.93,0.98,0
 72-82,0,1.96,0,14.72,0.98,0.98,117.8,3.93,0,7.85,51.05,2.94,1.96,0,0,0,2.94,0,0,93.26,0,4.91,10.8,231.67,0.98,3.93,4.91,0,0.98,0.98,0,0.98,0,0,23.56,0,0.98,13.74,4.91,0
 84-94,0,3.19,0,14.87,1.06,1.06,81.78,1.06,1.06,1.06,31.86,7.43,3.19,10.62,3.19,3.19,3.19,1.06,0,78.59,2.12,3.19,6.37,112.58,1.06,1.06,5.31,0,0,32.92,0,2.12,0,0,15.93,2.12,2.12,8.5,3.19,2.12
 96-106,0,0,0,5.46,0,0,49.18,0,2.19,3.28,37.16,0,1.09,5.46,1.09,3.28,3.28,0,2.19,60.11,0,1.09,7.65,90.71,1.09,4.37,5.46,0,0,28.41,0,0,0,0,3.28,1.09,2.19,10.93,3.28,0
108-118,0,0.77,0,19.15,1.53,0,49.02,0.77,4.6,1.53,32.94,4.6,0,5.36,0.77,2.3,4.6,1.53,0.77,68.17,1.53,1.53,11.49,118.72,2.3,0.77,6.89,0,1.53,24.51,0,0.77,0,0,3.06,0,1.53,9.19,3.06,1.53
120,1.96,0,0,47.03,1.96,0,66.63,7.84,1.96,7.84,68.59,11.76,0,5.88,5.88,1.96,3.92,0,0,125.43,0,3.92,13.72,284.17,1.96,5.88,7.84,0,0,45.08,0,0,0,0,7.84,0,1.96,13.72,7.84,0
