stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,210.85,606.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,790.72,2703.17,24.52,0,0,0,0,0,0,0,110.33,0,0,0,0,0,0,0,0,0,0,220.67,6.13,0,0,30.65,18.39,0,0,0,0,0,0,0,0,0
  7-9,286.53,160.35,520.49,0,2.63,1569.34,0,0,0,0,707.12,0,0,0,0,0,0,0,0,0,0,6059.18,34.17,0,0,210.3,15.77,2.63,0,0,0,0,0,0,0,0
 10-12,6.29,72.38,138.47,0,15.73,878,0,0,0,0,308.4,0,0,0,0,0,0,0,0,0,0,3014.8,40.91,0,0,66.09,3.15,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,525,13,369,0,0,0,1,83,1,0,1,0,0,0,26,0,0,6,2025,5,9,1,1,7,0,3,1,2,6,335,1,0,0
 24-34,0,0,0,123.95,0,191.26,0,0,0.82,2.46,1.64,0,0.82,1.64,0,6.57,0,6.57,0.82,0,9.03,2171.16,1.64,9.85,7.39,0,15.6,0,0,0,0.82,0.82,325.88,3.28,0,0.82
 36-46,0,0,0,25.78,0,83.79,0,0.81,0,66.87,1.61,0,0.81,0,0,3.22,0,1.61,0.81,0,0.81,1853.85,0.81,5.64,13.7,0,6.45,0,0,0,0,0,207.86,0.81,0,0
 48-58,0,0,0,24.67,0,99.27,0.57,2.3,0,96.97,1.72,0,0.57,0,1.15,4.59,0,3.44,1.15,0,0.57,973.17,0,4.02,11.48,0,4.59,0,0,0,0,0,78.61,0,0,0.57
 60-70,0,0,0,20.61,0,53,0,0,0,58.89,0,0,0,0.98,0,1.96,0,1.96,0,0.98,0,494.69,0,0.98,6.87,0,7.85,0,0,0,0,0,23.56,0,0,0
 72-82,0,0,0,31.41,0,75.59,0,0.98,0,73.62,1.96,0,0.98,0.98,0,3.93,0,5.89,0,0.98,0.98,421.13,0,1.96,13.74,0,14.72,0,0,0,0,0,16.69,0,0.98,0
 84-94,0,0,0,44.61,1.06,103.02,0,0,0,39.3,2.12,0,0,0,2.12,4.25,1.06,3.19,2.12,2.12,0,251.7,0,5.31,24.43,0,19.12,0,0,1.06,0,0,12.74,0,0,0
 96-106,0,0,0,39.34,0,64.48,0,0,0,51.36,0,0,0,1.09,0,6.56,0,6.56,3.28,0,0,207.64,0,9.84,27.32,0,16.39,0,0,0,0,0,7.65,0,1.09,1.09
108-118,0,0,0,41.36,0,58.21,0,1.53,0.77,34.47,0,0,0.77,0.77,0,9.19,0.77,3.83,2.3,0.77,0.77,248.17,0,3.83,23.74,0,9.19,0.77,0,0,0,0,2.3,0.77,0,0.77
120,0,0,1.96,39.2,0,48.99,0,1.96,0,52.91,0,0,0,1.96,0,0,0,1.96,5.88,0,0,237.13,1.96,1.96,23.52,0,17.64,0,0,0,0,0,0,0,0,0
