stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,5,1,0,23,0,0,0,1,0,8,0,0,0,0,0,1,0,5,0,0,1,97,0,1,0,1,0,2,1,0,4,30,0,0,2,0,0
 24-34,0,0.82,2.46,9.85,4.1,0,34.48,0,1.64,0,7.39,0,18.88,0,1.64,1.64,1.64,0,0,0.82,9.85,0,0,4.1,334.09,0.82,3.28,0.82,0,0,9.03,0,0.82,3.28,59.92,0,0,7.39,0,2.46
 36-46,0,0,0,7.25,0.81,0,51.56,0,1.61,0,7.25,1.61,15.31,0.81,0,0.81,1.61,0.81,0,0,24.98,2.42,0.81,6.45,410.89,0,4.03,1.61,0,0,5.64,0,0.81,0,79.76,0,0,8.06,0,2.42
 48-58,0,0.57,0,4.59,0.57,0,71.15,0.57,1.72,2.87,17.79,0,21.8,0.57,0.57,0.57,0,0.57,0.57,0.57,29.84,0.57,1.72,6.89,340.84,0,1.15,1.72,0,0,4.02,0,0,0,63.69,0,0,4.02,0,2.3
 60-70,0,0,0,3.93,0,0,100.12,0,1.96,0,22.58,1.96,3.93,0,2.94,0,0,0,0,0.98,32.39,2.94,0,1.96,318.99,0.98,1.96,2.94,0,1.96,9.82,0,1.96,0,54.97,0,0,1.96,0.98,0
 72-82,0,0.98,0,20.61,0.98,0,128.6,0,0.98,3.93,33.38,1.96,2.94,0,0.98,2.94,0.98,0,0.98,0,77.55,8.83,0,4.91,214.98,0,3.93,5.89,0,0.98,13.74,0,0,0,25.52,0.98,0.98,5.89,3.93,2.94
 84-94,0,0,0,30.8,4.25,0,89.21,0,5.31,4.25,21.24,3.19,0,1.06,7.43,2.12,3.19,3.19,1.06,0,54.16,5.31,3.19,6.37,117.89,4.25,3.19,5.31,0,0,49.92,0,0,0,22.3,0,2.12,4.25,2.12,1.06
 96-106,0,0,0,24.04,4.37,0,72.13,0,7.65,1.09,27.32,7.65,0,2.19,6.56,3.28,1.09,0,0,0,71.04,5.46,2.19,7.65,112.56,2.19,4.37,6.56,0,1.09,38.25,0,0,0,8.74,3.28,1.09,5.46,2.19,5.46
108-118,0,0,2.3,67.4,4.6,0.77,65.11,0,9.96,0.77,29.11,15.32,0,0.77,6.89,5.36,4.6,0.77,2.3,0.77,53.62,3.83,0.77,9.19,132.51,1.53,6.13,6.89,0,0.77,72.77,0,1.53,0,3.83,3.83,0,3.06,1.53,0.77
120,0,1.96,0,99.95,7.84,0,39.2,0,17.64,1.96,25.48,11.76,0,1.96,3.92,1.96,1.96,0,0,0,60.75,1.96,0,3.92,105.83,3.92,1.96,5.88,0,0,97.99,0,0,0,3.92,3.92,1.96,5.88,0,1.96
