stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,3.15,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,22.03,3.15,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,4,19,0,0,0,0,0,1,0,1,0,0,0,47,0,0,33,24,0,0,0,0,0,0,4,0,0,1,0,0
 24-34,0.82,3.28,1.64,0.82,0,0,0,0,0,0,0.82,0,0,0,71.41,0,0,1.64,22.16,0,0,0,0,0.82,0,1.64,0,0,4.1,0,0
 36-46,0,2.42,0.81,0.81,0,0,0,0,0,0,0,0,0,0,121.66,0,0,9.67,8.86,0,0.81,0,0,0,0,0.81,0,0,7.25,0,0
 48-58,0,6.89,0,2.87,0,0.57,0,0,0,0,0,0,0,0.57,227.8,0,0,12.62,15.49,0,0.57,0,0,0,0,1.72,0,0,9.18,0,0
 60-70,0,21.59,0,2.94,0.98,0,1.96,0,0,0,0.98,0,0,0,238.51,0.98,2.94,12.76,7.85,0,0,0,0,0,0,0.98,0,0,12.76,0,0
 72-82,0,28.47,0.98,14.72,0,0,1.96,0,0,0.98,0,0,0,0,321.99,0,0,18.65,16.69,0,0.98,0,0.98,0,0,0.98,0.98,0.98,26.5,0,0
 84-94,0,36.11,2.12,11.68,2.12,1.06,1.06,0,0,0,0,0,0,0,174.17,0,0,10.62,7.43,0,0,0,0,0,0,1.06,0,0,16.99,1.06,1.06
 96-106,0,28.41,0,6.56,0,1.09,2.19,1.09,0,0,0,1.09,1.09,2.19,190.16,0,0,21.86,15.3,0,0,0,1.09,0,2.19,0,0,0,33.88,0,0
108-118,0,14.55,0,3.06,0,0.77,0,0,0,0.77,0.77,0,0,0,155.49,0,0,5.36,6.89,0,0,0,0,0,0,0,0,0,31.4,0,0
120,0,11.76,0,5.88,1.96,0,0,0,0,0,3.92,0,0,1.96,113.67,0,0,3.92,9.8,0,0,0,0,0,0,0,0,0,23.52,0,0
