stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,22,0,0,0,0,0,3,1,0,122,96,11,0,0,1,0,0
 24-34,0,0,0,4.93,0,0,13.13,175.66,0.82,0,2.46,0,3.28,0,2.46,0,0,0,0,10.67,0.82,0,32.01,114.1,2.46,0,0.82,0,0,9.03,1.64,0,133.8,123.95,31.19,0,0,5.75,0,0
 36-46,0,0,0,2.42,0,0,26.59,442.31,0,0.81,8.06,1.61,0.81,0,0,0,0,0,0.81,8.86,0.81,0,23.36,105.54,0.81,0.81,0,0.81,0,7.25,0,0.81,146.63,6.45,37.06,0,0,3.22,0,3.22
 48-58,0,0,0,7.46,0.57,0,70.58,374.69,1.15,0,13.2,0.57,0.57,0.57,1.15,0.57,0,0.57,0.57,37.87,1.15,0.57,18.36,179.03,2.3,0,0,0,0,5.74,0,0,122.79,0,36.15,0,0,1.72,0,5.16
 60-70,0,0,0,9.82,1.96,0,70.67,291.51,0.98,0.98,9.82,3.93,0,2.94,0.98,0.98,0.98,0,0.98,34.35,0.98,0.98,21.59,123.67,0.98,1.96,0,0.98,0.98,10.8,0,0,77.54,0,17.67,0,0.98,0.98,0,4.91
 72-82,0,0,0,7.85,5.89,0.98,65.77,164.92,0.98,1.96,22.58,3.93,0,0,0.98,1.96,0.98,0.98,0.98,39.27,0,2.94,10.8,132.52,0,1.96,1.96,0,0.98,7.85,0,1.96,43.19,0,9.82,0,1.96,5.89,0.98,4.91
 84-94,0,0,0,8.5,10.62,0,41.42,298.43,1.06,3.19,11.68,3.19,0,2.12,1.06,2.12,1.06,3.19,2.12,33.99,0,2.12,15.93,80.71,3.19,1.06,3.19,0,0,19.12,0,2.12,77.53,0,5.31,1.06,1.06,6.37,1.06,4.25
 96-106,0,1.09,0,10.93,12.02,1.09,46.99,269.93,0,0,15.3,7.65,1.09,2.19,1.09,2.19,3.28,2.19,0,31.69,2.19,7.65,16.39,52.46,0,6.56,1.09,0,1.09,16.39,0,0,74.31,0,3.28,0,1.09,0,3.28,1.09
108-118,0,0,0,3.83,4.6,0.77,19.15,206.04,3.06,0.77,10.72,2.3,0,2.3,3.06,3.83,1.53,0,0,22.21,0,2.3,28.34,49.79,0,2.3,0.77,0,0,6.89,0,0.77,72,0,0.77,0,0.77,0,0.77,3.06
120,0,0,0,9.8,3.92,0,17.64,94.07,0,1.96,5.88,0,1.96,1.96,1.96,3.92,1.96,3.92,0,25.48,0,1.96,13.72,41.16,1.96,0,5.88,0,0,1.96,0,0,19.6,0,1.96,0,0,1.96,3.92,0
