stage,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,1,2,0,0,0
 24-34,0,0.82,1.64,0,9.85,0,0,0,0,0,0,0,0,0,0.82,0,2.46,0,0,0,1.64,23.8,0,0,0,0,0.82,0,0.82,0,7.39,0,0.82,0
 36-46,0,0,0,0,12.09,0,0,0,0.81,0.81,0,0,0,0,0,0.81,2.42,1.61,0,0,0,15.31,0.81,0,0,0,1.61,0.81,0,0,4.03,0,0.81,1.61
 48-58,0,0,1.15,0,10.33,0,0,0,0.57,0,0,0,0,0,0,0.57,1.72,1.15,0,0,0,16.64,0,0,0,0,0.57,0,0.57,0,2.3,0,0.57,0
 60-70,0,0,0.98,0,40.24,0,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,0,0,12.76,0,0,0.98,0,1.96,0,3.93,0,0.98,0,0,0.98
 72-82,0,0,3.93,0,210.08,0,0,0,3.93,0.98,0,0,0,3.93,0,0,0.98,7.85,0.98,1.96,1.96,25.52,0,0.98,0.98,0,0,0,0,0,1.96,0.98,0.98,0
 84-94,0,0,3.19,1.06,173.11,0,0,0,3.19,0,0,0,0,2.12,0,2.12,2.12,2.12,0,0,0,9.56,0,2.12,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,3.28,0,165.02,1.09,1.09,0,5.46,4.37,0,1.09,0,3.28,0,0,3.28,6.56,0,0,0,7.65,0,1.09,1.09,0,2.19,0,0,0,0,0,2.19,0
108-118,0,0,0.77,0,134.04,0,0,0.77,0.77,1.53,0,0,0,1.53,0,3.83,0.77,8.43,0,0,0,19.15,0,0,0,0,2.3,0,0.77,0,0,0,2.3,0.77
120,0,0,5.88,0,141.1,0,0,1.96,0,1.96,0,0,1.96,0,0,1.96,1.96,3.92,0,0,0,27.44,0,1.96,3.92,0,0,0,7.84,0,0,0,1.96,1.96
