stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,41,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0,0,18.06,0.82,0,0,0,0,0,0,0.82,18.88,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0.81,44.31,0,0,0,0,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.15,0,0,0,0.57,0,0,0,0,0,0,8.03,0,0,37.3,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,76.56,0,0,0,0,0,0,0,0,0,0,20.61,0,0,55.95,0,0,0,0,0,0,0,0,12.76,0,0,0,0,0
 72-82,0,0,0,0,4.91,0,0,286.65,0,0,0.98,15.71,0,0.98,0.98,0.98,0,0,51.05,0,0.98,108.96,0,0,0,0,0,0,0,0,18.65,0,0,0,0,0.98
 84-94,0,0,1.06,0,2.12,0,2.12,151.87,0,0,0,8.5,0,0,0,0,0,0,47.79,0,0,64.78,0,0,0,0,1.06,2.12,0,0,4.25,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,1.09,2.19,273.21,1.09,1.09,0,18.58,0,0,0,0,1.09,1.09,55.74,1.09,1.09,79.78,0,1.09,0,0,1.09,1.09,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0,0,9.96,0.77,0,208.34,0,1.53,0,14.55,0.77,0,0,0.77,0.77,0.77,42.13,0,0.77,60.51,0.77,0,0.77,0,0,0.77,0,0,6.13,0.77,0.77,0,0.77,0
120,0,0,0,0,5.88,0,3.92,121.51,1.96,1.96,0,7.84,0,0,0,0,0,0,43.12,0,0,96.03,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0
