stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,4.1,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0,3.22,0,0,0,0.81,1.61,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,5.16,0,0,0,0,0,0,0.57,0,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,0,0,6.87,0,0,3.93,0,0,0.98,0.98,0,2.94,0,0.98
 72-82,0,0,0,0.98,0,0,0,0,0.98,13.74,0.98,0.98,0,0.98,0,0.98,0,0.98,1.96,0,0.98
 84-94,0,0,2.12,2.12,0,0,0,1.06,0,13.81,0,0,2.12,0,1.06,1.06,0,0,1.06,0,2.12
 96-106,0,0,1.09,0,2.19,0,0,0,0,20.76,0,0,5.46,1.09,2.19,2.19,0,0,3.28,2.19,3.28
108-118,0,0,3.83,0.77,1.53,0,0.77,0,0,12.26,0,0.77,1.53,0.77,1.53,4.6,0,0,1.53,4.6,3.83
120,0,0,0,0,1.96,0,1.96,0,0,7.84,0,0,0,0,1.96,1.96,0,0,5.88,1.96,0
