stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,2.63,0,0,26.29,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,7,3,2,0,0,3,0,0,0,0,2,0,0,0,1,4,0,0,3,59,3,2,1,1,0,0,0,9,0,10,25,0,0,0,0,0
 24-34,0,0,0.82,2.46,3.28,0,5.75,0,0,4.1,0.82,0,0,0,0.82,0,0,0,1.64,15.6,0,0,9.03,194.54,0,2.46,1.64,0,0,0.82,0,0,0.82,4.1,47.61,0,0,2.46,0,0
 36-46,0,0,0.81,0,1.61,0,37.87,0,0.81,8.86,0.81,0,0,0,0,0.81,0,0,0,24.17,0.81,0,3.22,228,0.81,3.22,0.81,0,0,1.61,0,0,0.81,0,54.79,0,0,0,0,0.81
 48-58,0.57,0,0,0,1.72,0.57,59.1,0.57,1.72,14.92,0,0,0,0.57,0.57,0.57,1.15,0,1.15,22.95,1.15,0.57,4.02,205.42,0,1.72,0.57,0,0,1.72,0,0,0.57,0,43.04,0,0,0.57,0,0.57
 60-70,0,0,0,0,2.94,0,118.76,0,0.98,26.5,0,0.98,0,0,0,1.96,0.98,0,0,36.32,0.98,1.96,3.93,305.25,0.98,1.96,0.98,0,0.98,0,0,0,1.96,0,34.35,0,0.98,0.98,0,1.96
 72-82,0,0,0.98,0,0,1.96,79.51,0,1.96,17.67,0,0,0.98,0.98,0,0.98,0.98,0.98,0,34.36,0,0,4.91,169.83,0,1.96,0,0,0,0.98,0,0,0.98,0,16.69,0.98,1.96,1.96,0.98,0.98
 84-94,0,0,0,1.06,4.25,1.06,41.42,0,2.12,12.74,1.06,0,1.06,0,0,0,0,0,0,18.05,0,0,1.06,79.65,1.06,1.06,1.06,0,1.06,2.12,0,0,0,0,4.25,1.06,0,2.12,0,0
 96-106,0,0,1.09,0,3.28,1.09,31.69,0,0,9.84,2.19,0,0,1.09,0,2.19,0,0,0,22.95,0,1.09,3.28,57.92,0,2.19,0,0,2.19,5.46,0,0,0,0,1.09,0,0,3.28,0,1.09
108-118,0,0,0,0,3.83,1.53,22.98,0.77,0,18.38,0.77,0,0,2.3,0,3.06,0,0.77,1.53,17.62,0,2.3,3.06,63.57,0,0.77,2.3,0,0.77,1.53,0,0,0.77,0,0.77,0,0.77,1.53,0.77,0
120,0,0,0,0,7.84,0,17.64,1.96,1.96,13.72,0,0,0,0,0,1.96,0,0,0,9.8,1.96,3.92,0,41.16,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0,0,0,0
