stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,70,1,0,0,0,0,0
 24-34,0,0.82,0,2.46,0,0,0,0,0,0.82,0,0,0,0,2.46,0.82,12.31,0,0,0,0,0,200.29,1.64,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,0.81,3.22,0.81,8.86,0.81,1.61,0,0,0,221.56,0.81,0,0,1.61,0,0
 48-58,0,5.74,0,5.16,1.15,0,0.57,0,0.57,0.57,0,0,0.57,2.3,1.72,1.15,8.03,0,1.15,0.57,0,0,180.75,1.72,0,0,0,0,0
 60-70,0,3.93,0,1.96,2.94,0,0,0,0.98,0,0,0,0,0.98,1.96,0,6.87,0,0,1.96,0,0,196.3,0.98,0,0,0,0,0
 72-82,0,19.63,0,2.94,5.89,0,0,0,0.98,3.93,0,0,0,3.93,0.98,0,3.93,0,0,2.94,0,0,284.68,0,0,0,0,0,0
 84-94,0,29.74,1.06,3.19,20.18,0,0,1.06,0,5.31,0,0,0,0,3.19,0,3.19,0,0,1.06,0,1.06,679.7,2.12,0,0,0,0,0
 96-106,0,48.09,1.09,5.46,14.21,0,0,3.28,0,5.46,1.09,0,0,5.46,0,0,6.56,0,1.09,3.28,0,1.09,590.14,0,1.09,0,1.09,1.09,0
108-118,0,42.89,0,1.53,19.15,0.77,0,3.06,0,5.36,0,0,0,3.83,5.36,3.06,8.43,0,0,6.89,0,0,465.71,0,2.3,0.77,0,0,0
120,0,23.52,1.96,3.92,15.68,0,0,0,0,5.88,0,1.96,0,0,5.88,0,7.84,0,0,0,0,0,311.61,0,1.96,0,0,1.96,1.96
