stage,epidermis,erythrocytes,eye,fast_muscle,glial,gut,immune,liver,mesenchyme,mucous,mural_cell,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle
 14-21,8,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0,2.46,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0.81,0.81,0,2.42,0,0,0,0
 48-58,0,0.57,1.15,0,0.57,0,0,0,0.57,0,0,1.72,0,0,0,0.57,0,0.57,0
 60-70,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0,0.98,0,3.93,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,0,1.06,1.06,0,0,0,0,0,0,0
 96-106,1.09,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,6.56,0,0,0,1.09
108-118,0,0,0,0,0,0,0.77,0,1.53,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,1.96,0,0,3.92,0,0,0,0
