stage,axial,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,3,123,13,3,0,1,0,4,2,0,0,0,1,24,1,0,31,101,2,3,5,8,29,194,9,8,113,126,7,0
 24-34,0.82,0,0.82,50.07,0.82,2.46,0,8.21,2.46,5.75,1.64,1.64,0.82,0.82,0.82,45.97,0.82,0,33.66,22.98,2.46,0.82,2.46,0,27.09,0,3.28,1.64,55,32.83,18.88,0
 36-46,0,0,0,7.25,0,1.61,0,0,9.67,1.61,0,1.61,0,0,0,46.73,0,0,20.95,16.92,0,0,0,0,11.28,0,1.61,0.81,0,20.14,13.7,0
 48-58,0,0,0,1.15,0,2.87,0,1.15,8.03,0.57,0,0,0.57,0,0,38.44,0,0,15.49,8.61,0,0,0,0,3.44,0,1.15,0.57,0,2.87,5.74,0.57
 60-70,0,0,0,0,0,1.96,0.98,0,1.96,0,0,0,0,0,0,8.83,0.98,0,3.93,1.96,0,0,0,0,2.94,0,0,0,0,1.96,0.98,0
 72-82,0,0,0,0,0,1.96,0,0,7.85,0.98,0,0,0,0,0,17.67,0,0,5.89,3.93,0,0,0,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,3.19,0,0,2.12,1.06,0,0,0,0,0,7.43,0,0,2.12,4.25,0,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,2.19,0,0,4.37,2.19,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0.77,0,0,2.3,0,1.53,0,0,0,0,7.66,0,0.77,1.53,0.77,0,0,0,0,0,0,5.36,0,0,0,0,0
120,0,0,0,0,0,0,0,0,7.84,0,5.88,0,0,0,0,5.88,0,0,1.96,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0
