stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,6.29,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,1,5,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0.82,0.82,0,0,0,1.64,0,1.64,36.94,0,0,0,0,0,0,0,0,0.82,12.31,0,0.82,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,1.61,0,0,0,0,0,0,0,82.18,0,0.81,0,0,0,0,0,0,0,21.75,0,0,0,0
 48-58,0,0,0,0.57,0,10.9,0,0,0.57,8.03,0,0.57,0,0,1.72,0,0,152.63,0,0,0,0,0,0.57,0,0,0,26.4,0,0,0,0.57
 60-70,0,0,0,0.98,0,94.23,0,0,0,15.7,0,0,0,0,2.94,1.96,0,239.49,0,0,0,0,0,1.96,0,0,0,43.19,0,0,0,0
 72-82,0,0,0,3.93,0,366.16,0.98,0,1.96,19.63,0,0,0,0,6.87,0.98,0,246.4,0,0.98,0.98,0,0.98,0,0,0,0,30.43,0.98,0,0.98,1.96
 84-94,0,0,1.06,5.31,1.06,320.74,1.06,2.12,1.06,10.62,0,0,0,0,4.25,0,1.06,121.07,0,0,0,0,0,3.19,0,0,0,14.87,1.06,1.06,1.06,0
 96-106,0,0,0,4.37,2.19,327.85,0,0,0,7.65,0,0,1.09,0,7.65,0,1.09,134.42,0,0,2.19,0,0,0,0,1.09,0,6.56,0,2.19,1.09,1.09
108-118,0,0,0,2.3,0.77,261.19,0.77,0,0,14.55,0,0,1.53,1.53,8.43,0,0.77,134.04,0,0,0.77,0,0.77,0,0,0,0,3.83,0,0.77,0,0
120,0,0,0,1.96,0,305.73,0,0,0,11.76,0,0,0,0,7.84,0,0,164.62,0,3.92,3.92,0,0,0,0,0,0,7.84,0,0,0,0
