stage,endoderm,epidermis,eye,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,1,0,1,0,0,0,1,0,3,20,0,0,0,0,1,6,0,0,0
 24-34,0.82,0,2.46,0,0,0,0,0,3.28,0,0,21.34,1.64,0,0.82,0,0,4.1,0,0,0
 36-46,0,0,2.42,0,0,0,0,0,2.42,0,0,24.17,0,0,0,0,0,0,0,0,0
 48-58,0,0,2.87,2.87,0,0,0,0.57,3.44,0,1.72,25.82,1.15,0,0,0,0,6.31,0,0,0.57
 60-70,0,0,6.87,3.93,0,0,0,0,5.89,0,0,33.37,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,23.56,0,0,0,0,0,3.93,0,0.98,41.23,2.94,0.98,0,0,0,0.98,0.98,0,0
 84-94,0,0,4.25,3.19,0,0,0,0,1.06,0,2.12,7.43,1.06,1.06,0,1.06,0,0,0,1.06,0
 96-106,0,1.09,6.56,3.28,0,1.09,1.09,0,9.84,1.09,0,9.84,0,1.09,0,0,0,0,0,0,0
108-118,0.77,0,3.06,3.83,0,0,0,0,3.06,0,0,17.62,1.53,0,0.77,0.77,0,0,0,0,0
120,0,1.96,3.92,0,0,0,0,0,1.96,0,1.96,5.88,1.96,0,0,0,0,1.96,0,0,0
