stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,8.21,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0,0,0,0.81,0,0,1.61,0,0,0.81,9.67,0,1.61,0,0,0,0,2.42,0,0,0.81,0.81
 48-58,0,1.15,0.57,0,2.3,0.57,0,0,1.15,0,0,0,0,0,0,0,0.57,1.72,0,0,0.57,8.03,0,0.57,0,0,0,0,1.15,0,0,1.15,0
 60-70,0,0,0,0,13.74,0.98,0,0.98,0.98,0,0,0,0.98,0,0,0,0,8.83,0,0,0,4.91,0,0,0,0.98,0.98,0,2.94,0,0,0.98,0.98
 72-82,0,0,0.98,0,3.93,0,0,0,6.87,0,0,0.98,0,0,0.98,0,0,13.74,0,0,1.96,7.85,0,0.98,0,0.98,0,0,0.98,0,0,0,0
 84-94,0,0,3.19,0,4.25,1.06,0,1.06,5.31,0,0,0,5.31,0,0,0,1.06,3.19,0,0,1.06,8.5,0,0,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,3.28,0,4.37,1.09,0,0,7.65,0,0,0,1.09,1.09,1.09,0,0,10.93,0,1.09,1.09,0,0,0,0,2.19,0,0,0,1.09,1.09,1.09,0
108-118,0,1.53,2.3,3.06,8.43,0,2.3,0,1.53,0,0,1.53,0.77,0,0.77,0.77,3.06,10.72,0.77,0.77,0,6.13,0,0,0.77,3.06,0.77,1.53,0,0,0,2.3,0.77
120,0,0,3.92,0,7.84,0,0,0,5.88,1.96,0,0,3.92,0,1.96,1.96,0,9.8,0,0,0,1.96,1.96,1.96,0,1.96,0,0,0,0,0,0,0
