stage,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,neural,notochord,paraxial_mesoderm,vascular_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0.57,0,0.57,0.57,0,0,0,1.15,0,0.57,0,0,0
 60-70,0.98,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 72-82,1.96,0,0,0.98,0,0,0,0,0.98,0,0,0,0
 84-94,0,2.12,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,6.56,0,0,0,1.09,0,0,1.09,1.09,0,0,1.09,0
108-118,3.83,1.53,0,0,0.77,0,0.77,2.3,0,0,0,0,0.77
120,3.92,0,0,0,0,0,0,1.96,0,0,0,0,1.96
