stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,2.63,0,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,86.75,5.26,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,0,0,0,28.32,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0,0,0,2,0,0,2,3,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0,0.82,0,0,0,0,0.82,0,0,0.82,3.28,24.63,0,0,0,0,0,0,0,0,0.82,0.82,9.85,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,5.64,0,0,0,0.81,0,0,0,0.81,0,0,0,1.61,0,39.48,0,0,0.81,0,0,0.81,0,0,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,6.31,0.57,0,0.57,2.3,0,0,0.57,0.57,0,0,0.57,6.89,1.15,35,0,0.57,0.57,0,0,0.57,0,0,0,0,8.03,0,0,0.57,0,1.72
 60-70,0,0,0,0,0,0,0,5.89,0,0,0.98,1.96,0,0,0,0,0,0,0,6.87,0,27.48,0,0,0,0,0,0,0,0,0,0,4.91,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0,0,6.87,0,0,0.98,6.87,0,0,0,0,0,0.98,0,13.74,1.96,36.32,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0.98,0,0,0
 84-94,0,0,0,0,0,1.06,0,5.31,0,1.06,3.19,2.12,0,0,0,3.19,0,1.06,0,1.06,1.06,20.18,0,0,1.06,0,0,0,0,0,0,0,2.12,0,0,1.06,1.06,0
 96-106,0,0,0,0,3.28,0,1.09,7.65,0,0,0,5.46,1.09,0,0,0,0,0,0,5.46,0,18.58,0,0,2.19,0,0,1.09,0,0,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0,0,0.77,1.53,0.77,4.6,0,0,0,3.83,2.3,0,0,2.3,0,0,0,8.43,1.53,12.26,0,0,0,0,0,0.77,0,0.77,0,0,0.77,0,0,0.77,0.77,0
120,0,0,0,0,3.92,0,0,3.92,1.96,0,0,0,3.92,0,0,0,0,0,0,3.92,1.96,13.72,0,0,3.92,0,0,1.96,0,0,0,0,1.96,1.96,0,0,0,0
