stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1291.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,1097.2,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,55.17,6.13,0,0,18.39,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,31.54,28.92,31.54,0,0,0,115.66,0,0,0,0,0,47.32,0,0,0,0,0,0,0,0,0,0,0,738.67,15.77,0,0,360.13,0,5.26,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,69.23,0,9.44,0,78.67,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,922.06,12.59,0,0,361.9,0,6.29,12.59,12.59,53.5,6.29,6.29,0,0,0,0,0
 14-21,0,0,5,79,25,0,42,0,0,0,9,3,1,0,2,1,0,0,0,0,34,0,0,53,530,9,3,9,17,0,30,1,78,8,69,151,0,0,5,0,0
 24-34,0,0,4.1,40.22,18.06,0,167.45,0,0,0,19.7,1.64,0.82,2.46,3.28,1.64,1.64,2.46,1.64,0,127.23,0.82,0,55,1081.07,13.13,8.21,8.21,0,0,67.31,0,0,2.46,9.03,272.52,0,0,17.24,0,7.39
 36-46,0,0,2.42,24.98,10.47,0,437.48,0,1.61,1.61,30.62,1.61,0,4.83,6.45,0,3.22,0.81,0,1.61,159.52,2.42,2.42,53.17,1118.27,4.03,3.22,5.64,0,0,28.2,0,0,2.42,0,273.12,0,0,11.28,0,6.45
 48-58,0,0,0,22.38,6.89,0,431.5,0.57,0,1.15,24.1,0.57,0,4.59,3.44,0,2.87,2.3,0.57,1.15,130.25,0,8.61,28.69,421.75,2.87,1.15,4.59,0,0.57,10.33,0,0,1.15,0,76.32,0,0,9.75,0,3.44
 60-70,0,0,0,23.56,2.94,0,439.72,0,1.96,0.98,53,2.94,0,0.98,1.96,0,5.89,2.94,0.98,0,115.82,0.98,9.82,19.63,273.84,2.94,0,6.87,0,1.96,10.8,0,0,0.98,0,13.74,0,0,8.83,0,1.96
 72-82,0,0,0,14.72,3.93,0.98,126.63,0,0,3.93,38.28,12.76,0,2.94,7.85,0.98,0,0,0,0,92.28,0,5.89,16.69,146.27,0.98,2.94,3.93,0,0,5.89,0,0,1.96,0,11.78,1.96,0,19.63,0,1.96
 84-94,0,0,0,27.61,6.37,0,127.44,0,0,1.06,19.12,7.43,0,2.12,16.99,1.06,4.25,1.06,1.06,0,67.97,0,11.68,16.99,117.89,3.19,1.06,3.19,0,1.06,14.87,0,0,3.19,0,2.12,2.12,1.06,18.05,1.06,1.06
 96-106,0,0,0,26.23,4.37,1.09,75.41,0,1.09,1.09,27.32,8.74,0,2.19,13.11,2.19,1.09,1.09,2.19,0,37.16,0,5.46,12.02,113.66,3.28,5.46,4.37,0,0,6.56,0,0,2.19,0,1.09,0,1.09,18.58,0,1.09
108-118,0,0,0,13.79,10.72,0,68.17,0,0.77,0,26.04,6.13,0,1.53,10.72,0,3.06,0,0,0,30.64,0,1.53,19.92,121.79,1.53,3.06,2.3,0,0.77,13.02,0,0,3.06,0,1.53,1.53,0,9.19,0,0
120,0,0,1.96,11.76,15.68,0,80.35,0,0,0,23.52,1.96,0,0,9.8,0,1.96,0,1.96,0,35.28,0,1.96,1.96,103.87,0,0,1.96,0,0,7.84,0,0,0,0,0,1.96,0,13.72,0,0
