stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,2,169,0,3,0,0,0,0,0,0,0,183,0,0,0,0,0
 24-34,0,4.1,0,4.1,0,0,12.31,0,0,0,4.1,0,0,0,0,0,0,0,0,0,9.85,0,0,1.64,908.69,0,27.91,1.64,0,0,2.46,0,0,0,363.64,0,0,1.64,0,0.82
 36-46,0,0.81,0,0.81,0,0,70.9,0,0,0,12.09,0,0,1.61,0,0,0,0,0,0,7.25,0,0,4.03,1912.66,2.42,24.17,0.81,0,0,2.42,0.81,0,0,572.83,0,0,0.81,0,0.81
 48-58,0,1.15,0,4.59,0.57,0,354.04,0,1.72,1.72,37.3,0,0.57,0,1.15,0,0.57,0.57,1.15,1.72,23.53,0,0.57,5.16,2363.5,0.57,18.36,0.57,0,0,4.59,0,0,0,558.31,0,0,1.72,0,2.3
 60-70,0,0.98,0,4.91,1.96,0,859.81,0.98,0.98,0,35.33,1.96,0,0,1.96,0,0,0,0,0,34.35,0,1.96,2.94,2790.47,0,27.48,0,0,0,7.85,0,0,0.98,441.68,0,0.98,1.96,0,2.94
 72-82,0,5.89,0,15.71,4.91,0,1296.78,1.96,2.94,1.96,69.7,6.87,0,3.93,0,0.98,0.98,0.98,0.98,1.96,46.14,0,0.98,3.93,2549.38,0,35.34,1.96,0,0.98,5.89,0,1.96,1.96,223.82,0.98,0.98,5.89,1.96,4.91
 84-94,0,9.56,0,43.54,7.43,0,660.59,1.06,0,4.25,69.03,2.12,0,1.06,1.06,0,3.19,0,1.06,0,28.68,0,2.12,2.12,1393.39,2.12,21.24,4.25,0,0,6.37,0,4.25,1.06,106.2,2.12,1.06,1.06,3.19,2.12
 96-106,0,8.74,0,20.76,14.21,1.09,672.1,0,4.37,0,71.04,7.65,0,1.09,0,1.09,0,0,3.28,1.09,37.16,0,3.28,2.19,1160.6,0,29.51,3.28,0,1.09,18.58,0,1.09,0,57.92,3.28,1.09,1.09,2.19,2.19
108-118,0,4.6,0.77,17.62,3.06,2.3,511.66,0,0.77,1.53,54.38,4.6,0,0,1.53,1.53,5.36,0,1.53,0,34.47,1.53,0.77,1.53,1314.39,0,15.32,2.3,0,2.3,0.77,0,0,0,41.36,5.36,0,3.83,2.3,0.77
120,0,9.8,0,9.8,1.96,3.92,378.24,1.96,0,1.96,39.2,1.96,0,0,7.84,0,3.92,1.96,3.92,0,19.6,0,1.96,1.96,1385.57,0,21.56,5.88,0,1.96,3.92,0,1.96,0,48.99,1.96,0,0,1.96,0
