stage,epidermis,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,1,0
 24-34,0,0,0,0,4.1,0,0,0.82,0,1.64,0.82,0
 36-46,0,0,0.81,0,7.25,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,10.9,0,0,2.3,0,0,0.57,0
 60-70,0,0,0.98,0,10.8,0,0,0,0,0,0,0
 72-82,0.98,0,0.98,0,28.47,0.98,0,3.93,0,2.94,0,0
 84-94,0,1.06,0,0,36.11,0,0,1.06,0,15.93,0,0
 96-106,1.09,1.09,0,0,53.55,0,0,0,0,9.84,0,1.09
108-118,1.53,0,0.77,0.77,30.64,0,0.77,0,0,7.66,0,0
120,1.96,0,0,0,45.08,0,0,1.96,0,3.92,0,0
