stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1120.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,140.98,1348.52,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,12.26,0,0,18.39,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,18.4,0,39.43,0,0,28.92,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,431.11,13.14,0,0,231.33,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,28.32,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.11,12.59,0,0,119.58,0,0,0,0,12.59,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,2,30,6,13,0,0,0,12,2,0,0,0,1,0,0,0,0,23,0,0,11,196,3,1,1,6,0,1,0,15,3,15,65,0,0,2,0,0
 24-34,0,0,0,0,9.03,0.82,39.4,0,0,0.82,9.85,0.82,0,0,0,0.82,0,0.82,0,0.82,45.97,0.82,0,14.78,343.12,2.46,3.28,4.93,0,0.82,4.1,0,0,0,2.46,89.47,0,0,8.21,0,0.82
 36-46,0,0,0.81,0,0.81,0,91.04,0,0,0,17.72,0.81,0,0,0,0,0,0.81,0.81,0.81,40.28,0,2.42,12.09,268.29,0,3.22,2.42,0,0,3.22,0,0,0,0,72.51,0,0,1.61,0,1.61
 48-58,0,0,0,0,1.72,0.57,86.07,0,0,1.72,15.49,0,0,0,0.57,0,0.57,0,0,0.57,33.85,0,0.57,4.02,131.98,0.57,4.02,1.15,0,0,2.3,0,0,0.57,0,35.58,0,0,3.44,0,1.15
 60-70,0,0,0,0,3.93,0,101.1,0,0.98,0.98,30.43,0.98,0,0,0,0,0,0.98,0.98,0.98,40.24,0,3.93,4.91,98.15,0,4.91,1.96,0,0.98,0,0,0,0.98,0,14.72,0,0.98,0.98,0,0
 72-82,0,0,1.96,0,1.96,0.98,66.75,0,0.98,0.98,28.47,0,0,0.98,0,0,0.98,0,0,0,39.27,0.98,0.98,4.91,101.11,0,3.93,2.94,0,0,1.96,0,0,0.98,0,6.87,0.98,0,2.94,2.94,0
 84-94,0,0,0,1.06,3.19,2.12,44.61,0,0,1.06,16.99,3.19,0,2.12,0,1.06,0,2.12,0,0,19.12,1.06,1.06,6.37,75.4,1.06,0,2.12,0,0,6.37,0,0,0,0,6.37,0,0,4.25,0,0
 96-106,0,0,0,0,7.65,1.09,37.16,0,1.09,1.09,21.86,0,0,0,0,1.09,0,1.09,0,0,26.23,1.09,1.09,1.09,37.16,0,5.46,1.09,0,2.19,1.09,0,0,0,0,1.09,0,0,2.19,0,0
108-118,0,0,0,0,6.13,0,32.94,0.77,0,5.36,13.02,0.77,0,1.53,4.6,0,0.77,1.53,0,0,22.21,0,1.53,0.77,52.85,0.77,1.53,2.3,0,0,5.36,0,0,0,0,5.36,0,0,2.3,0.77,0
120,0,0,0,0,5.88,1.96,25.48,1.96,0,1.96,7.84,0,0,0,1.96,1.96,0,0,0,1.96,19.6,0,1.96,0,58.79,0,0,0,0,1.96,1.96,0,0,0,0,3.92,0,0,0,0,0
