stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,6.29,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,65,0,0,1,0,0,0,1,0,0,3,0,0,0,0
 24-34,0,0,0,0.82,0,1.64,0,0,0,4.1,0,0,0,0,0,0,0,0,16.42,0,0,10.67,13.95,78.8,4.93,0,0,0,0.82,0,0,0,0,4.93,0,0.82,0,0
 36-46,0,0,0,0,0,3.22,0.81,0,0,0.81,0,0.81,0,0,0,0,0,0,45.92,0,0,11.28,9.67,91.85,0,0,0,0,0,0,0.81,0,0,7.25,0,0,0,0
 48-58,0,0,0,0.57,0,5.16,0.57,0,4.02,1.72,0,0,0,0,0,0,0.57,1.15,96.4,0,0.57,17.79,10.33,80.91,0.57,0,0,0,0,0,0,0.57,0,3.44,1.15,2.3,0,0.57
 60-70,0,0,0,0,0,3.93,0,0,5.89,2.94,0,0,0,0,0,0,0,0.98,202.19,0.98,1.96,10.8,21.59,62.82,0,0.98,0,1.96,0,0,0,0,0.98,0.98,3.93,0,0.98,0.98
 72-82,0,0,0,1.96,0,16.69,0.98,0,14.72,2.94,0,0.98,0,0.98,3.93,0,0,0.98,397.57,0,3.93,21.6,22.58,55.95,0,1.96,0,1.96,0,0,0,0,0,0.98,4.91,2.94,0,0
 84-94,1.06,0,0,0,1.06,15.93,0,0,18.05,3.19,0,0,0,1.06,3.19,0,1.06,4.25,265.51,0,1.06,14.87,11.68,79.65,0,1.06,0,0,2.12,0,0,0,1.06,1.06,5.31,2.12,0,1.06
 96-106,0,0,0,2.19,0,9.84,2.19,1.09,14.21,3.28,0,3.28,0,0,2.19,1.09,0,1.09,196.71,0,5.46,7.65,16.39,62.29,0,1.09,0,2.19,1.09,0,0,0,0,0,2.19,2.19,1.09,1.09
108-118,0,0,0,2.3,0.77,9.96,0,0,14.55,1.53,0,1.53,1.53,0,0.77,0,0,4.6,172.34,0,1.53,7.66,17.62,52.85,1.53,2.3,0,0.77,0.77,0,0,0,2.3,0.77,4.6,5.36,1.53,1.53
120,1.96,0,0,3.92,0,9.8,0,0,5.88,0,1.96,0,0,0,3.92,0,0,0,117.59,0,9.8,5.88,11.76,45.08,1.96,1.96,0,3.92,0,0,0,0,0,0,5.88,1.96,0,0
