stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,22,5,0,4,0,0,4,1,0,0,0,0,0,0,0,0,11,0,0,11,92,6,1,1,4,0,12,10,0,5,25,42,0,0,2,0,0
 24-34,0,0,0.82,0,4.1,0,0,30.37,1.64,0,5.75,0,0,0,2.46,0.82,0,0,0,1.64,19.7,0,0,14.78,159.25,1.64,2.46,3.28,0,0,30.37,0,1.64,0.82,6.57,36.12,0,0,5.75,0,0
 36-46,0,0,0,0.81,1.61,2.42,0,56.4,0.81,1.61,4.03,0,0,0.81,0.81,0.81,0,0,0.81,0,20.95,0,1.61,7.25,103.13,0,0.81,0,0,0,23.36,0,0,0,0,38.67,0,0,6.45,0,0.81
 48-58,0,0,0,0,1.72,0,0,45.33,1.15,1.72,2.87,0,0,0.57,0.57,0.57,0,0,0,0,25.25,0,0.57,5.74,69.43,0.57,0,1.72,0,0.57,22.38,0,0,0,0,16.64,0,0,2.87,0,0
 60-70,0,0,0,0,6.87,0,0,44.17,0,0,3.93,1.96,0,0,0.98,0,0,0,0,0,19.63,0,0.98,0,55.95,0,0.98,0,0,0.98,14.72,0,0.98,0,0,9.82,0,0.98,0.98,0,0
 72-82,0,0,0,0,3.93,0,0,28.47,0,2.94,10.8,0,0,1.96,2.94,0.98,0,1.96,0,0,28.47,0,0,0,53.99,0,0,0.98,0,0,11.78,0,0.98,0,0,3.93,0,1.96,0.98,0,0
 84-94,0,0,2.12,0,7.43,1.06,0,26.55,1.06,3.19,6.37,6.37,0,0,11.68,1.06,1.06,1.06,1.06,0,11.68,1.06,2.12,4.25,35.05,0,1.06,1.06,0,0,24.43,0,0,0,0,5.31,0,0,0,2.12,0
 96-106,0,0,0,0,6.56,1.09,0,10.93,1.09,1.09,8.74,0,0,1.09,3.28,1.09,1.09,1.09,1.09,0,12.02,1.09,0,3.28,18.58,0,1.09,0,0,0,14.21,0,0,0,0,3.28,0,0,1.09,0,0
108-118,0,0,0.77,0,3.83,0.77,1.53,12.26,1.53,0,6.13,3.06,0,0.77,4.6,0.77,3.06,0.77,0,0,16.09,0,0.77,0,26.04,2.3,1.53,1.53,0,0,5.36,0,0,0,0,0.77,1.53,0,0.77,0,0.77
120,0,0,0,0,1.96,1.96,0,29.4,5.88,0,11.76,3.92,0,1.96,15.68,0,3.92,0,0,0,13.72,0,1.96,3.92,54.87,0,1.96,0,0,0,17.64,0,0,0,0,5.88,0,0,0,0,0
