stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,2,0,0,1,24,1,0,0,0,0,13,1,0,0,9,0,0,0,0,0
 24-34,0,0,2.46,0,4.1,0,0.82,0,0,0,0,0.82,0.82,0.82,0,0,0,0,12.31,0,0,4.93,42.68,1.64,0,0,0,0,71.41,0,0,1.64,15.6,0,0,2.46,0,0
 36-46,0,0,2.42,0,4.83,0,0,0,2.42,0.81,0,0,0.81,0,0,0,0,0,8.86,0,0.81,5.64,24.17,0,0,0,0,0,70.09,0,0,0,7.25,0,0,2.42,0,0
 48-58,0,0,0.57,0,8.61,0,0.57,0,3.44,0.57,0,1.15,2.3,0,0,0,0,0.57,10.33,1.15,0,1.72,14.35,0,0,0,0,0,84.35,0,0,0,1.72,0,0,0.57,0,1.15
 60-70,0,0,0,0,5.89,0,0,0,2.94,0,0,0,0.98,0,0,0.98,0,0,17.67,0,0,0.98,4.91,0,0,0,0,0,69.69,0,0.98,0,1.96,0,0.98,0,0.98,0
 72-82,0,0,5.89,0,4.91,0,0,2.94,4.91,0.98,0,0,0.98,0,0.98,0,0,0.98,29.45,0.98,1.96,3.93,13.74,0,2.94,0,0,0,53.01,0,0,0,1.96,0,1.96,1.96,0.98,0
 84-94,0,0,5.31,1.06,4.25,0,1.06,2.12,2.12,0,0,0,4.25,1.06,1.06,0,0,0,19.12,1.06,2.12,4.25,6.37,0,0,1.06,0,2.12,137,0,0,0,2.12,0,0,5.31,0,0
 96-106,0,0,9.84,1.09,5.46,1.09,2.19,1.09,3.28,3.28,0,0,6.56,0,0,1.09,1.09,0,29.51,2.19,2.19,3.28,10.93,0,3.28,1.09,0,1.09,113.66,0,0,0,0,2.19,1.09,6.56,1.09,1.09
108-118,0,0,7.66,1.53,6.89,0,2.3,0,6.13,2.3,0,0,0.77,1.53,0.77,0,0.77,0,22.98,0.77,0.77,0,15.32,1.53,1.53,3.83,0,0.77,83.49,0,0.77,0,0.77,0,0,6.13,0,0
120,0,0,7.84,1.96,7.84,0,0,0,5.88,9.8,0,0,3.92,0,0,0,0,0,17.64,1.96,0,0,7.84,1.96,1.96,1.96,0,0,25.48,0,0,0,0,0,0,1.96,1.96,0
