stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,0,0,45,0,0,0,0,0
 24-34,0,1.64,0.82,0,4.1,0,0,0,0.82,0,0,0,0,0,0,0,0,4.93,0,0,1.64,261.85,0.82,1.64,0,0,0.82,0.82,0.82,149.4,0,0,1.64,0,0
 36-46,0,0,0.81,0,8.86,0,0,1.61,0.81,0,0,0,0,0,0,0,0,2.42,0,0.81,0,733.96,0.81,0,0,0,0,0,0,231.23,0,0,0.81,0,0
 48-58,0,0,2.3,0.57,64.84,0.57,0,0.57,8.61,0,0,0,0,0,0,0,0,5.74,0,0,1.15,988.67,0,0.57,0.57,0,0.57,0,0,221.49,0,0.57,0.57,0,1.15
 60-70,0,0,4.91,0,183.54,0,0,1.96,12.76,1.96,0,0,0,0,0,0,0,8.83,0,0,1.96,1520.38,0,1.96,0,0,0.98,0,0,258.14,0,0,0,0,0.98
 72-82,0,1.96,5.89,1.96,300.39,0,0,0,39.27,0.98,0,0.98,0,0,0,0.98,0,14.72,1.96,0,0,1513.72,0,0,0.98,0,0,0,0,139.4,0.98,0,3.93,0.98,0.98
 84-94,0,1.06,3.19,0,217.72,0,0,3.19,23.36,0,1.06,3.19,1.06,1.06,0,1.06,1.06,13.81,0,1.06,3.19,722.19,1.06,1.06,0,0,2.12,0,0,89.21,0,0,0,1.06,2.12
 96-106,0,0,9.84,3.28,161.74,0,0,2.19,21.86,0,0,0,0,1.09,1.09,3.28,0,21.86,1.09,1.09,0,662.27,0,2.19,1.09,2.19,5.46,0,0,41.53,0,0,0,0,3.28
108-118,0,0,4.6,0,121.79,0,2.3,1.53,21.45,0,0,0.77,0,0.77,0,0,0.77,5.36,0.77,0,0.77,701.62,0,0,0.77,0.77,0,0,0,27.57,0,0,0.77,0.77,1.53
120,0,0,9.8,0,121.51,0,0,0,19.6,0,0,0,0,0,0,0,0,7.84,0,0,1.96,736.88,0,0,0,0,0,0,0,37.24,0,0,3.92,0,0
