stage,epidermis,eye,fin_epithelia,glial,ionocyte,mesenchyme,muscle,neural,notochord,periderm,spinal_cord,vasculature
  3-4,0,0,0,0,0,0,0,0,0,13.18,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,2.46,0,0,0,0
 36-46,0.81,0,0,0,0,0.81,0,1.61,0,0,0,0
 48-58,2.3,0,0,0,0,1.72,0,4.02,0.57,0,0.57,0
 60-70,4.91,0,0,0,0,4.91,0,0.98,0,0,0.98,0.98
 72-82,10.8,0.98,0.98,0,0.98,15.71,0,2.94,0,0.98,0,0.98
 84-94,9.56,1.06,0,1.06,0,14.87,0,1.06,0,0,0,0
 96-106,10.93,4.37,3.28,1.09,0,18.58,1.09,3.28,0,0,1.09,0
108-118,4.6,0.77,0,0.77,0,15.32,0.77,2.3,0,0,0,0
120,1.96,0,0,0,0,9.8,0,3.92,0,0,0,0
