stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,hatching_gland,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,459.72,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0
  7-9,0,5.26,2.63,0,0,13.14,0,2.63,0,0,0,0,105.15,7.89,0,42.06,0,0,0,0,0
 10-12,0,0,12.59,0,0,3.15,0,0,0,0,0,0,44.06,0,0,31.47,0,0,3.15,0,0
 14-21,0,0,0,3,0,2,0,0,0,0,1,1,12,0,0,0,1,1,2,0,0
 24-34,0,0,0,0,0,4.1,0,0,0,0,0.82,0.82,9.03,0,0,0,2.46,0,0,1.64,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,1.61,1.61,3.22,0,0,0,2.42,0,0,0.81,0
 48-58,0,0,0,0,0,9.18,0.57,0,0,0,1.15,0.57,4.59,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,5.89,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,4.91,0.98,0,0,0.98,2.94,0,6.87,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,0,0,0,1.06,0,2.12,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,0,1.09,0,0,0,3.28,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0.77,2.3,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
