stage,epidermis,eye,glial,gut,immune,ionocyte,mesenchyme,mural_cell,muscle,neural,notochord,periderm,somites,spinal_cord,vasculature
 14-21,0,1,0,0,0,0,0,0,0,4,1,0,2,4,0
 24-34,0,3.28,0.82,0,0,0,0,0,0,5.75,0,0,0,1.64,0.82
 36-46,0,0,0,0.81,0,0,0.81,0,0.81,3.22,0,0,0,1.61,0
 48-58,0.57,1.15,0.57,0,0,0,0,0,0,4.02,0,0,0,0,0
 60-70,0,3.93,0.98,0,0,0,0.98,0,0,3.93,0,0,0,0,0
 72-82,0,0.98,0.98,0,0.98,0,0,0,0,5.89,0,0,0,1.96,0
 84-94,0,3.19,0,0,0,0,0,0,0,3.19,0,1.06,0,0,0
 96-106,0,2.19,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,3.83,0.77,0,0.77,0.77,0,0,0.77,1.53,0,0.77,0,0,0.77
120,1.96,1.96,0,0,1.96,0,0,1.96,1.96,5.88,0,0,0,0,0
