stage,epidermis,erythrocytes,eye,glial,lateral_line,mesenchyme,mural_cell,neural,olfactory,periderm,slow_muscle,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,3,0,0,0,0,0
 24-34,0.82,0,1.64,0,0,0.82,0,6.57,0,0.82,0,0.82,0
 36-46,0,0,0.81,0.81,0,0.81,0,2.42,0,0,0,0.81,1.61
 48-58,0,0,0.57,1.15,0,2.3,0,2.3,0,0,0,0,0
 60-70,0,0,2.94,1.96,0,0.98,0.98,9.82,0,0,0,0.98,0
 72-82,0.98,0,3.93,0.98,0,2.94,0,9.82,0,0.98,0.98,0,0.98
 84-94,0,0,7.43,0,0,2.12,1.06,3.19,0,2.12,0,0,0
 96-106,1.09,1.09,1.09,0,0,1.09,0,6.56,1.09,1.09,0,0,0
108-118,0.77,0,3.83,0,0.77,0.77,0,11.49,0,0,0,0.77,0
120,0,0,5.88,0,0,1.96,0,1.96,0,3.92,0,0,0
