stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,4,11,0,2,0,0,0,1,0,14,0,2,0,0,0,0,33,0,0,21,66,9,0,1,2,0,0,0,4,1,263,161,21,0,0,1,0,0
 24-34,0,0.82,0,3.28,0.82,0,18.06,128.05,1.64,0,4.1,0.82,9.85,0.82,0.82,0,0.82,0,0,76.34,0,0,123.95,210.14,25.45,0,0.82,0,0.82,2.46,0,0,4.1,194.54,122.31,45.97,0,0,6.57,0,0.82
 36-46,0,0,0.81,2.42,0,0,19.34,202.22,0.81,3.22,12.09,0,6.45,0,0,4.03,0.81,0,0,107.96,0,0,123.27,147.44,11.28,0.81,2.42,0,0,3.22,0,0.81,1.61,127.3,16.92,40.28,0,0,6.45,0,2.42
 48-58,0,0.57,0,4.02,0,0,30.99,176.73,1.72,2.3,17.21,0,8.03,0,0.57,4.02,1.72,0.57,0.57,161.81,0,3.44,93.53,89.51,3.44,0,5.74,0,0.57,0.57,0,0,1.15,97.55,0,25.25,0,0,2.3,0,2.87
 60-70,0,0,0,4.91,0.98,0,31.41,140.36,3.93,1.96,22.58,1.96,5.89,0,0.98,5.89,0.98,0,0,150.17,0,0,49.08,52.02,1.96,1.96,8.83,0.98,0,0.98,0,0.98,0.98,52.02,0,7.85,0,1.96,4.91,0.98,5.89
 72-82,0,1.96,0.98,1.96,0,0,34.36,131.54,2.94,2.94,39.27,2.94,12.76,0.98,1.96,12.76,2.94,0.98,0,203.2,0,3.93,72.64,59.88,0.98,0,10.8,0.98,0,3.93,0,0,0.98,32.39,0,5.89,0.98,5.89,5.89,3.93,2.94
 84-94,0,0,1.06,6.37,3.19,0,39.3,196.48,3.19,1.06,22.3,7.43,13.81,2.12,0,12.74,3.19,0,0,120.01,0,2.12,60.54,44.61,4.25,0,32.92,0,1.06,5.31,0,0,6.37,61.6,0,4.25,0,7.43,6.37,4.25,6.37
 96-106,0,1.09,1.09,9.84,7.65,0,32.79,273.21,2.19,1.09,39.34,7.65,18.58,0,4.37,15.3,3.28,1.09,1.09,96.17,1.09,1.09,65.57,50.27,4.37,2.19,28.41,0,1.09,6.56,0,0,2.19,41.53,0,1.09,1.09,13.11,4.37,9.84,2.19
108-118,0,2.3,0.77,16.85,1.53,0.77,20.68,208.34,8.43,1.53,22.98,13.02,12.26,0,1.53,32.17,2.3,0.77,0,85.02,0,1.53,62.81,40.6,5.36,1.53,29.11,0,2.3,2.3,0,0,9.19,46.72,0,3.06,0.77,8.43,4.6,6.13,2.3
120,0,0,0,19.6,0,0,13.72,135.23,11.76,3.92,19.6,5.88,7.84,0,1.96,9.8,3.92,3.92,0,47.03,0,1.96,58.79,35.28,0,0,17.64,0,3.92,0,1.96,0,3.92,13.72,0,3.92,0,5.88,0,7.84,1.96
