stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,32,0,0,0,0,1,1,20,1,1,2,0,0,1,22,3,81,0,0
 24-34,0,0,0,2.46,0,0,0,0,38.58,0,0,0,0,0,0,32.83,0,16.42,2.46,0,0,0,29.55,0.82,94.4,0,0
 36-46,0,0,0,0,0,1.61,0,0,34.64,0,0,0,0.81,1.61,0,29,0,18.53,2.42,0,0,0,10.47,0,69.29,0,0
 48-58,0,0,0,0,0,1.72,0,0,26.4,0,0.57,0.57,0,0.57,0,21.23,0,18.36,2.87,0,0.57,0,5.74,0,56.81,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,32.39,0,0,3.93,0,0.98,0,27.48,0,14.72,2.94,0,0,0,2.94,0,24.54,0,0.98
 72-82,0,0.98,0,0,0.98,3.93,0,0.98,34.36,0.98,0,2.94,0,0.98,0,22.58,0,36.32,10.8,0,0,0,2.94,0,23.56,0.98,0
 84-94,0,0,1.06,0,0,5.31,0,0,18.05,0,0,3.19,0,0,0,13.81,0,27.61,23.36,0,0,0,6.37,0,25.49,0,0
 96-106,0,0,0,1.09,0,5.46,0,0,17.49,0,0,14.21,0,0,0,12.02,0,37.16,24.04,0,0,0,5.46,0,14.21,0,0
108-118,0,0,0,0.77,0,6.89,0,0,22.21,1.53,0,6.13,0,1.53,0,16.85,0,23.74,14.55,0,0,0,9.19,0,12.26,0,0
120,0,0,1.96,3.92,0,5.88,0,0,7.84,0,0,5.88,0,3.92,0,7.84,0,17.64,15.68,0,0,0,5.88,0,11.76,0,0
