stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,3,1,0,4,0,3,0,0,0,0,0,0,0,7,0,1,26,2,0,0,3,0,0,1,2,0,5,15,0,0,0,0,0
 24-34,0.82,0,0,2.46,0,3.28,0,0,0,0,0,0,0,3.28,0,6.57,22.16,0,0,0.82,0,0,1.64,0,0,0,0,6.57,0,0,0,0,0
 36-46,0.81,0,0,1.61,0,1.61,0,0,0,0,0,0,0,6.45,1.61,0.81,14.5,0,1.61,0,0,0,1.61,0,1.61,0,0,5.64,0,0,0,0,0
 48-58,0.57,0,0,1.72,0,4.02,0,0.57,0,0,0,0,0.57,6.31,0,0.57,16.07,0,0,0,0,0,0,0,0,0.57,0,5.74,0,0,1.15,0,0.57
 60-70,0.98,0,0,8.83,0,5.89,0,0.98,0,0.98,0,0,0,12.76,0.98,0.98,23.56,0,0,0,0,0,0.98,0,0,0,0,10.8,0,0,0,0.98,0
 72-82,0.98,0,0,5.89,0,0.98,0,0,0,0,1.96,1.96,0,5.89,0,0.98,6.87,0,0.98,0,0,0,0,0,0,0,0,4.91,0,0.98,0,0.98,0
 84-94,4.25,0,0,3.19,0,4.25,0,0,1.06,0,0,0,0,4.25,0,0,6.37,0,0,2.12,0,0,3.19,0,0,0,0,0,0,0,0,1.06,0
 96-106,2.19,0,0,9.84,0,3.28,2.19,0,1.09,1.09,1.09,1.09,0,3.28,2.19,0,5.46,0,0,1.09,0,2.19,0,0,0,0,0,0,1.09,0,0,0,1.09
108-118,2.3,0,0.77,3.06,0.77,0.77,0,0,0.77,0,0.77,0.77,0,3.06,0.77,0.77,5.36,0,0,0.77,0,1.53,1.53,0,0.77,0,0,0.77,0,0.77,0,2.3,0
120,1.96,0,0,9.8,1.96,3.92,0,0,1.96,0,0,1.96,0,7.84,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,3.92,1.96,0
