stage,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,gut,ionocyte,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,47,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0
 24-34,10.67,0,0,22.98,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0.81,0,0,15.31,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,10.33,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,13.74,0.98,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0.98
 72-82,0,0,0,3.93,0.98,0,0,1.96,0.98,2.94,0,0,0,0,0,0.98,0,0,0,0,5.89,1.96
 84-94,3.19,0,0,9.56,1.06,0,0,1.06,0,0,0,1.06,0,0,1.06,0,0,0,0,0,1.06,2.12
 96-106,3.28,0,1.09,24.04,3.28,0,0,3.28,0,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09,3.28
108-118,4.6,0,0,30.64,0.77,0.77,0.77,3.83,0,0,0,0.77,0,0,0,0,0,0,0.77,0.77,1.53,0.77
120,3.92,0,0,41.16,1.96,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0
