stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,0,1,1,0,0,0,68,0,0,0,0,0
 24-34,0,0.82,0,1.64,0.82,0,9.85,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,655.86,0,26.27,0,0,2.46,0.82,181.41,0,0,0,0,0
 36-46,0,0,0,2.42,0,0,66.87,0,0,0,8.86,0,0,0,0,0,0,0.81,0,3.22,0,0,1.61,1602.48,0,35.45,0,0,3.22,0,302.93,0,0,0,0,0
 48-58,0,0,0,4.59,0.57,0,185.91,0,0.57,1.15,26.97,0,0,0,0.57,0,0.57,0,0.57,11.48,0.57,0.57,0.57,1976.76,0,28.12,0,0,2.3,0.57,298.38,0,0,0.57,0,0
 60-70,0,1.96,0,8.83,0,0,376.9,0,0.98,0,28.46,0.98,0.98,0,0.98,0,0,0,0,18.65,0,0,1.96,2750.22,0.98,26.5,0,0,2.94,0,318.01,0,0.98,0.98,0.98,0.98
 72-82,0,6.87,0,10.8,4.91,0,428.99,0,0,0.98,43.19,3.93,0,1.96,0.98,0,0,0,0,26.5,0,2.94,0.98,2654.41,0,43.19,3.93,0,1.96,0.98,180.63,2.94,0.98,0.98,0,0
 84-94,0,2.12,0,13.81,1.06,0,310.11,0,0,1.06,44.61,2.12,0,1.06,1.06,0,3.19,0,0,24.43,1.06,2.12,2.12,1434.81,0,38.23,2.12,0,6.37,0,115.76,0,0,2.12,1.06,1.06
 96-106,0,1.09,1.09,15.3,6.56,0,281.95,1.09,1.09,1.09,57.92,6.56,0,0,3.28,3.28,1.09,6.56,0,22.95,0,0,2.19,1288.47,0,77.59,1.09,0,3.28,0,63.39,2.19,0,1.09,1.09,2.19
108-118,0,2.3,0,17.62,4.6,2.3,228.26,1.53,2.3,0,41.36,3.83,0,0,1.53,4.6,0,1.53,0.77,10.72,0.77,0.77,0.77,1512.01,0,48.26,3.83,0.77,3.83,0,40.6,0.77,0,1.53,0,0
120,0,0,0,13.72,1.96,0,174.42,0,0,1.96,37.24,0,0,0,1.96,0,0,0,1.96,17.64,0,0,0,1367.93,0,31.36,3.92,0,1.96,0,50.95,0,0,1.96,0,0
