stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0.81,0,0,0,0,0,0
 48-58,0,0,0,2.3,0,0.57,0,0,0.57,0,0,0,0,3.44,0,0,0,0,0.57,0.57,1.15
 60-70,0,0,0,3.93,0.98,0,0,0,1.96,0,0,0,0,2.94,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,3.93,0,0,0,0,0.98,0,0,0.98,0,6.87,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,4.25,0,1.06,1.06,0,3.19,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,2.19,0,0,1.09,0,1.09,0,0,0,0,1.09,0,1.09,1.09,0,0,0,0
108-118,0,0.77,0,2.3,0,0.77,0.77,0.77,1.53,0.77,0,0.77,0.77,3.83,0.77,0.77,1.53,0,0,0,1.53
120,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,3.92,0,0
