stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,226.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.76,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,17,1,0,0,2,2,6,0,0,0,0
 24-34,0,0,0.82,1.64,0,0.82,0.82,0,0,0,0,0,0,0.82,0,0,2.46,0,0,2.46,15.6,0,0,0,1.64,0,0,6.57,0,4.1,0
 36-46,0,0,0,0,0.81,1.61,0,0,0,1.61,0,0,0.81,0,0,0,6.45,0,0.81,0,7.25,0,0,0,2.42,0,0,6.45,0,0,0.81
 48-58,0,0,0,0,0,2.3,1.15,0,0,0.57,0,0,0,0,0.57,0,3.44,0,0,0,2.87,0.57,0,0,1.15,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,7.85,0,0,0,0.98,0,0,0,0,0,0,4.91,0.98,0,0.98,4.91,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,3.19,0,6.37,0,0,0,0,0,1.06,0,0,0,1.06,2.12,0,0,1.06,2.12,0,1.06,0,10.62,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,1.09,0,0
108-118,0,0,0,1.53,0.77,2.3,0,0,0,0,0,0,0,0,0.77,0,0.77,0,0,0.77,3.06,0,0,0,4.6,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0
