stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,25,1,0,1,0,1,3,2,4,2,9,0,0,0
 24-34,0,0,0,0,4.1,17.24,0.82,0,0,0,0.82,0,0,0,0,4.93,0.82,0,10.67,28.73,0,0.82,0,0,3.28,0,0,22.98,9.03,7.39,0,0,0.82
 36-46,0,1.61,0,0,6.45,70.9,0,0,4.03,0,0,0,0.81,0,0.81,4.83,0.81,0,5.64,63.65,1.61,0,0,0,4.83,0,0,22.56,0,17.72,1.61,0,0
 48-58,0,1.15,1.15,0,24.1,93.53,0,0,8.61,0.57,0,0,0,0,0,13.2,0,0,6.89,60.82,1.15,0,0,0,1.72,0,0,35.58,0,11.48,0.57,0,0
 60-70,0.98,1.96,0.98,0,19.63,69.69,0,0.98,5.89,0.98,0,0,0,1.96,0,11.78,0,0,4.91,40.24,0,0,1.96,0,0.98,0,0,29.45,0,5.89,0,0,0
 72-82,0,1.96,1.96,0.98,12.76,44.17,0,0.98,5.89,0,0.98,0,0.98,0,0,18.65,0,0.98,2.94,37.3,0.98,1.96,0.98,0,0,0,0,9.82,0,6.87,0.98,1.96,1.96
 84-94,0,3.19,5.31,0,10.62,38.23,1.06,1.06,5.31,0,1.06,1.06,0,0,0,8.5,1.06,1.06,4.25,28.68,0,1.06,1.06,0,5.31,0,0,30.8,0,1.06,3.19,3.19,0
 96-106,0,3.28,0,1.09,12.02,28.41,0,1.09,7.65,0,5.46,0,1.09,2.19,1.09,17.49,2.19,0,4.37,26.23,1.09,1.09,1.09,1.09,8.74,0,0,13.11,0,1.09,4.37,2.19,0
108-118,0,3.83,0,0.77,10.72,18.38,0,0.77,3.06,0.77,3.83,0,0.77,0,0,18.38,1.53,0,6.13,26.04,0,0.77,0.77,0,0.77,0,0.77,24.51,0,0,1.53,0,0
120,0,3.92,1.96,0,1.96,15.68,0,0,1.96,0,3.92,0,0,0,0,11.76,0,0,0,9.8,1.96,0,0,0,1.96,0,0,9.8,0,0,1.96,1.96,0
